event,time,poss.position,poss.team,poss.player,poss.action,poss.location,poss.play.destination,play.type,def.position,def.team,def.player,def.action,def.location,gk.ball.stop,gk.s.o.g.attempt,poss.player.disciplinary,poss.notes,def.player.disciplinary,def.notes,poss.number,def.number
1,1,NA,NA,NA,kickoff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,M,SBFC,Lytle,passes.b.c,DM3C,DM3C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,M,SBFC,Rodriguez,passes.s.c,DM3C,DM3R,NA,F,WAS,Stengel,pressured,AM3C,NA,NA,NA,NA,NA,NA,NA,NA
4,1,D,SBFC,Simon,passes.b.c,DM3R,DM3R,NA,M,WAS,Matheson,pressured,AM3L,NA,NA,NA,NA,NA,NA,NA,NA
5,1,D,SBFC,Rampone,passes.f,DM3R,NA,through,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,D,WAS,Kleiner,recoveries,DM3L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,D,WAS,Kleiner,passes.f.c,DM3L,AM3L,headed,F,SBFC,Hayes,pressured,AM3R,NA,NA,NA,NA,NA,NA,NA,NA
8,1,M,WAS,Lohman,passes.s.c,AM3L,AM3L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,D,WAS,Kleiner,take.on.won,AM3L,NA,NA,F,SBFC,Hayes,challenged,DM3R,NA,NA,fouls.won,NA,fouls.conceded,NA,NA,NA
10,1,D,WAS,Zadorsky,passes.f,AM3L,NA,free.kick,M,SBFC,Killion,clearances,D3C,NA,NA,NA,NA,NA,NA,NA,NA
10,1,NA,NA,NA,NA,NA,NA,launch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,M,SBFC,Gordon,recoveries,D3L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,M,SBFC,Gordon,passes.b.c,D3L,D3L,NA,D,WAS,Krieger,challenged,A3R,NA,NA,NA,NA,NA,NA,NA,NA
12,1,NA,NA,NA,NA,NA,NA,NA,F,WAS,Dunn,challenged,A3R,NA,NA,NA,NA,NA,NA,NA,NA
13,1,D,SBFC,O'Hara,passes.f.c,D3L,DM3L,NA,F,WAS,Dunn,pressured,A3R,NA,NA,NA,NA,NA,NA,NA,NA
