"Player","Team","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","Shot.Pressd","Pct.Shots.Pressd","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","KP.to.Goal","Key.Assists","Second.Assists","Unscored.Key.Passes","KP.Goal","Assists.per.90","Key.Passes.per.90","Assists.per.Pass","Key.Passes.per.Pass","Big.Chances","Big.Chances.per.90","BC.Scored","BC.to.Goal","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Comp.Pct","Pct.opPass.Pressd","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","Pct.Pass.Pressd","PPass.Comp","PPass.Att","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.Pass","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Att.per.opPass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","CK.Effectiveness","Corner.Kicks.Taken","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Comp.Pct","FK.Pass.Att","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Win.Pct","Take.Ons","TO.Lost","Dispossessed","Lost.Touches","AD.Won","AD.Win.Pct","Aerial.Duels","AD.Lost","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Def.Recoveries","Poss.Recoveries","Interceptions","Blocks","Clearances","Balls.Shields","Saves","Goals.Allowed","SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses","Crosses.Won","Crosses.Lost","Corner.Kicks","CKs.Won","CKs.Lost","Free.Kicks","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","All.Pass.Comp","Distribution.Success","All.Pass.Att","Throw.Comp","Throw.Comp.Pct","Throw.Att","Drop.Kick.Comp","Drop.Kick.Comp.Pct","Drop.Kick.Att","GK+FK.Comp","GK+FK.Comp.Pct","GK+FK.Att"
"Abily","LYON",95,1,0,1,0.947368421052632,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,52,65,0.8,49,58,0.844827586206897,29,34,0.852941176470588,0.583333333333333,0.507692307692308,0.215384615384615,0.276923076923077,25,33,0.757575757575758,10,14,0.714285714285714,17,18,0.944444444444444,0.517241379310345,0.172413793103448,0.310344827586207,23,30,0.766666666666667,9,10,0.9,17,18,0.944444444444444,1,29,34,0.852941176470588,0.470588235294118,0.205882352941176,0.323529411764706,12,16,0.75,7,7,1,10,11,0.909090909090909,1,2,1.89473684210526,0.0307692307692308,0.0344827586206897,0.5,1,1,0,2,1.89473684210526,0.0307692307692308,0.0344827586206897,0,0,2,1.89473684210526,0.0307692307692308,0.0344827586206897,0,1,1,0.947368421052632,0.0153846153846154,1,1,0.25,4,0,0,1,0.5,2,0,0,0,0,2,1,0.125,8,7,2,2,4,0.666666666666667,6,2,1,0,0,26,5,8,5,3,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berger","PSG",95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,37,0.594594594594595,12,22,0.545454545454545,1,1,1,0.0454545454545455,1,0,0,22,37,0.594594594594595,0,0,0,0,0,0,1,0,0,12,22,0.545454545454545,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,12.3157894736842,0.351351351351351,0.590909090909091,0.230769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,7,0,3,3,0,0,5,5,0,3,2,0,0,0,1,1,0,2,2,0,0,0,0,0,0,22,0.594594594594595,37,8,0.888888888888889,9,2,0.5,4,4,0.363636363636364,11
"Bouhaddi","LYON",95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,23,0.782608695652174,14,17,0.823529411764706,0,0,0,0,1,0,0,18,23,0.782608695652174,0,0,0,0,0,0,1,0,0,14,17,0.823529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4.73684210526316,0.217391304347826,0.294117647058824,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,18,0.782608695652174,23,3,0.75,4,0,0,0,4,0.8,5
"Boulleau","PSG",95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,0.521739130434783,8,17,0.470588235294118,7,10,0.7,0.588235294117647,0.608695652173913,0.173913043478261,0.217391304347826,5,14,0.357142857142857,2,4,0.5,5,5,1,0.588235294117647,0.235294117647059,0.176470588235294,3,10,0.3,2,4,0.5,3,3,1,1,7,10,0.7,0.4,0.3,0.3,2,4,0.5,2,3,0.666666666666667,3,3,1,0,1,0.947368421052632,0.0434782608695652,0.0588235294117647,0,1,0,0,1,0.947368421052632,0.0434782608695652,0.0588235294117647,0,0,0,0,0,0,0,4,6,5.68421052631579,0.260869565217391,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,1,0,0,1,0.5,2,1,1,0,0,13,19,2,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cristiane","PSG",68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0.666666666666667,10,15,0.666666666666667,9,13,0.692307692307692,0.8125,0.4,0.2,0.4,3,6,0.5,2,3,0.666666666666667,5,6,0.833333333333333,0.4,0.2,0.4,3,6,0.5,2,3,0.666666666666667,5,6,0.833333333333333,1,9,13,0.692307692307692,0.384615384615385,0.230769230769231,0.384615384615385,3,5,0.6,2,3,0.666666666666667,4,5,0.8,1,1,1.32352941176471,0.0666666666666667,0.0666666666666667,1,1,0,0,0,0,0,0,0,0,2,2.64705882352941,0.133333333333333,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.25,8,6,0,2,1,1,1,0,1,0,0,11,1,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cruz","PSG",95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,38,0.815789473684211,30,37,0.810810810810811,25,30,0.833333333333333,0.810810810810811,0.5,0.157894736842105,0.342105263157895,12,19,0.631578947368421,6,6,1,13,13,1,0.513513513513513,0.135135135135135,0.351351351351351,12,19,0.631578947368421,5,5,1,13,13,1,1,25,30,0.833333333333333,0.5,0.133333333333333,0.366666666666667,10,15,0.666666666666667,4,4,1,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.947368421052632,0.0263157894736842,0.027027027027027,1,1,1,0.947368421052632,0.0263157894736842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,4,2,1,1,1,0.25,4,3,4,0,3,26,10,7,3,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dahlkvist","PSG",95,1,0,1,0.947368421052632,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,34,0.823529411764706,27,33,0.818181818181818,20,23,0.869565217391304,0.696969696969697,0.794117647058823,0.0882352941176471,0.117647058823529,21,27,0.777777777777778,3,3,1,4,4,1,0.787878787878788,0.0909090909090909,0.121212121212121,20,26,0.769230769230769,3,3,1,4,4,1,1,20,23,0.869565217391304,0.739130434782609,0.130434782608696,0.130434782608696,14,17,0.823529411764706,3,3,1,3,3,1,1,1,0.947368421052632,0.0294117647058824,0.0303030303030303,1,1,0,2,4,3.78947368421053,0.117647058823529,0.121212121212121,0.5,1,1,0.947368421052632,0.0294117647058824,0.0303030303030303,1,1,1,0.947368421052632,0.0294117647058824,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.111111111111111,9,8,3,0,2,22,5,4,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delannoy","PSG",95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,0.76,14,16,0.875,4,6,0.666666666666667,0.375,0.84,0.04,0.12,15,21,0.714285714285714,1,1,1,3,3,1,0.75,0.0625,0.1875,10,12,0.833333333333333,1,1,1,3,3,1,1,4,6,0.666666666666667,1,0,0,4,6,0.666666666666667,0,0,0,0,0,0,1,1,0.947368421052632,0.04,0.0625,1,1,0,1,2,1.89473684210526,0.08,0.125,0.5,0,0,0,0,0,0,4,8,7.57894736842105,0.32,0.5,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.166666666666667,6,5,7,0,1,12,13,3,3,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delie","PSG",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.75,3,4,0.75,3,4,0.75,1,0.5,0.25,0.25,1,2,0.5,1,1,1,1,1,1,0.5,0.25,0.25,1,2,0.5,1,1,1,1,1,1,1,3,4,0.75,0.5,0.25,0.25,1,2,0.5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,1,3,0,1,0,0,5,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erika","PSG",95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,0.857142857142857,11,13,0.846153846153846,5,7,0.714285714285714,0.538461538461538,0.785714285714286,0.142857142857143,0.0714285714285714,10,11,0.909090909090909,1,2,0.5,1,1,1,0.769230769230769,0.153846153846154,0.0769230769230769,9,10,0.9,1,2,0.5,1,1,1,1,5,7,0.714285714285714,0.857142857142857,0.142857142857143,0,5,6,0.833333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,6,0.666666666666667,9,3,1,0,0,2,3,2,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
