"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Andressa","HOU",1,90,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,44,58,58,0.758620689655172,41,46,46,0.891304347826087,22,24,24,0.916666666666667,0.521739130434783,0.46551724137931,0.396551724137931,0.137931034482759,22,27,27,0.814814814814815,14,23,23,0.608695652173913,8,8,8,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.543478260869565,0.304347826086957,0.152173913043478,21,25,25,0.84,13,14,14,0.928571428571429,7,7,7,1,0.413793103448276,22,24,24,0.916666666666667,0.583333333333333,0.25,0.166666666666667,12,14,14,0.857142857142857,6,6,6,1,4,4,4,1,2,2,2,0.0434782608695652,1,1,1,3,5,5,0.0862068965517241,0.6,3,5,5,0.0862068965517241,0.108695652173913,0.6,0,0,0,0,NA,2,10,0.2,0,0,1,2,0.5,0,0,0,0,2,1,1,1,0,1,0,1,1,1,4,4,0,4,0,2,1,3,3,1,1,15,3,7,7,4,3,3,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Beckie","HOU",1,90,1,1,4,4,0.75,2,0,1,0,0,0,0,2,1,0,1,0,1,1,1,0,1,1,2,2,1,0.5,1,0,0,0,0,25,35,35,0.714285714285714,23,33,33,0.696969696969697,10,14,14,0.714285714285714,0.424242424242424,0.342857142857143,0.342857142857143,0.314285714285714,7,12,12,0.583333333333333,7,12,12,0.583333333333333,11,11,11,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.333333333333333,0.363636363636364,0.303030303030303,6,11,11,0.545454545454545,7,12,12,0.583333333333333,10,10,10,1,0.4,10,14,14,0.714285714285714,0.214285714285714,0.5,0.285714285714286,2,3,3,0.666666666666667,4,7,7,0.571428571428571,4,4,4,1,0,5,5,0.151515151515152,0,5,0,1,2,2,0.0571428571428571,0.5,1,3,3,0.0857142857142857,0.0909090909090909,0.333333333333333,2,2,2,0.0571428571428571,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,2,2,1,1,0.5,2,2,5,5,1,1,0,1,0,1,0,1,1,0,0,14,1,3,3,2,1,2,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Beckmann","BOS",1,26,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,3.46153846153846,0,0,0,0,NA,0,0,0,0,0,6,7,24.2307692307692,0.857142857142857,5,6,20.7692307692308,0.833333333333333,5,5,17.3076923076923,1,0.833333333333333,0.428571428571429,0.428571428571429,0.142857142857143,3,3,10.3846153846154,1,2,3,10.3846153846154,0.666666666666667,1,1,3.46153846153846,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.333333333333333,0.5,0.166666666666667,2,2,6.92307692307692,1,2,3,10.3846153846154,0.666666666666667,1,1,3.46153846153846,1,0.714285714285714,5,5,17.3076923076923,1,0.4,0.4,0.2,2,2,6.92307692307692,1,2,2,6.92307692307692,1,1,1,3.46153846153846,1,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,1,1,1,1,0,0,0,1,1,3.46153846153846,1,0,1,1,0,1,3.46153846153846,3,10.3846153846154,2,1,0.666666666666667,0,0,0,0,2,6.92307692307692,8,1,2,6.92307692307692,1,1,0,0,0,1,3.46153846153846,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Belanger","ORL",1,73,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,22,28,34.5205479452055,0.785714285714286,21,27,33.2876712328767,0.777777777777778,14,15,18.4931506849315,0.933333333333333,0.555555555555556,0.214285714285714,0.5,0.285714285714286,2,6,7.3972602739726,0.333333333333333,14,14,17.2602739726027,1,6,8,9.86301369863014,0.75,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.222222222222222,0.518518518518518,0.259259259259259,2,6,7.3972602739726,0.333333333333333,14,14,17.2602739726027,1,5,7,8.63013698630137,0.714285714285714,0.535714285714286,14,15,18.4931506849315,0.933333333333333,0.133333333333333,0.6,0.266666666666667,2,2,2.46575342465753,1,9,9,11.0958904109589,1,3,4,4.93150684931507,0.75,3,4,4.93150684931507,0.148148148148148,0.75,3,1,0,0,0,0,NA,0,1,1.23287671232877,0.0357142857142857,0.037037037037037,0,0,0,0,0,NA,0,0,NA,0,0,1,1,1,0,0,0,0,1,4,4.93150684931507,1,3,0.25,1,2,6,7.3972602739726,0,0,0,0,NA,2,0,2,2.46575342465753,2,2.46575342465753,26,3,9,11.0958904109589,5,4,2,2.46575342465753,0,1,1.23287671232877,1,1.23287671232877,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Betos","PTFC",1,95,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,19,27,25.5789473684211,0.703703703703704,14,17,16.1052631578947,0.823529411764706,1,1,0.947368421052632,1,0.0588235294117647,1,0,0,19,27,25.5789473684211,0.703703703703704,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,12,13,12.3157894736842,0.923076923076923,0,0,0,NA,0,0,0,NA,0.037037037037037,1,1,0.947368421052632,1,1,0,0,1,1,0.947368421052632,1,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,8,15,14.2105263157895,0.555555555555556,0.533333333333333,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,2,2,1,0,0,0,0,2,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0.947368421052632,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,1,1,0,0,3,3,0,1,3,1,1,3,0,4,3,1,2,2,0,2,0,2,1,0,19,27,0.703703703703704,2,2,1,1,6,0.166666666666667,4,6,0.666666666666667
"Boureille","PTFC",1,21,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,2,8.57142857142857,0.5,1,2,8.57142857142857,0.5,0,0,0,NA,0,1,0,0,1,2,8.57142857142857,0.5,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,1,2,8.57142857142857,0.5,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,1,4.28571428571429,0.5,0,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,2,8.57142857142857,1,1,0.5,0,0,1,4.28571428571429,0,0,0,0,NA,0,2,2,8.57142857142857,0,0,3,0,0,0,0,0,1,4.28571428571429,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Brian","HOU",1,73,1,0,1,1.23287671232877,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,38,42,51.7808219178082,0.904761904761905,37,41,50.5479452054795,0.902439024390244,17,18,22.1917808219178,0.944444444444444,0.439024390243902,0.476190476190476,0.357142857142857,0.166666666666667,18,20,24.6575342465753,0.9,14,15,18.4931506849315,0.933333333333333,6,7,8.63013698630137,0.857142857142857,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.48780487804878,0.341463414634146,0.170731707317073,18,20,24.6575342465753,0.9,13,14,17.2602739726027,0.928571428571429,6,7,8.63013698630137,0.857142857142857,0.428571428571429,17,18,22.1917808219178,0.944444444444444,0.388888888888889,0.333333333333333,0.277777777777778,7,7,8.63013698630137,1,5,6,7.3972602739726,0.833333333333333,5,5,6.16438356164384,1,0,1,1.23287671232877,0.024390243902439,0,1,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,1,1,1,0,0,0,0,1,3,3.6986301369863,1,2,0.333333333333333,0,0,2,2.46575342465753,4,4.93150684931507,0,4,0,2,0,2,2.46575342465753,0,0,12,2,5,6.16438356164384,3,2,4,4.93150684931507,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Brooks","HOU",1,18,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,9,9,45,1,9,9,45,1,2,2,10,1,0.222222222222222,0.666666666666667,0.111111111111111,0.222222222222222,6,6,30,1,1,1,5,1,2,2,10,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.666666666666667,0.111111111111111,0.222222222222222,6,6,30,1,1,1,5,1,2,2,10,1,0.222222222222222,2,2,10,1,1,0,0,2,2,10,1,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,5,0,1,0,0,0,0,0,2,10,2,1,2,10,1,1,0,0,0,1,5,2,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Brush","HOU",1,90,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,31,33,33,0.939393939393939,30,32,32,0.9375,4,6,6,0.666666666666667,0.1875,0.606060606060606,0.303030303030303,0.0909090909090909,19,20,20,0.95,9,10,10,0.9,3,3,3,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.625,0.3125,0.0625,19,20,20,0.95,9,10,10,0.9,2,2,2,1,0.181818181818182,4,6,6,0.666666666666667,0.833333333333333,0.166666666666667,0,4,5,5,0.8,0,1,1,0,0,0,0,NA,0,0,0,0,NA,0,0,0,1,1,0.0303030303030303,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,1,1,1,0,0,0,0,1,0,0,0,0,NA,0,1,1,1,6,6,3,3,0.5,1,0,1,1,0,0,4,0,4,4,3,1,0,0,0,0,0,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Dowie","BOS",1,95,1,0,3,2.84210526315789,0.666666666666667,2,0,1,0,2,0.666666666666667,0,2,0,1,0,0,0,0,0,0,0,0,1,0.947368421052632,0,0,1,0,0,0,0,19,21,19.8947368421053,0.904761904761905,19,21,19.8947368421053,0.904761904761905,9,10,9.47368421052632,0.9,0.476190476190476,0.333333333333333,0.0952380952380952,0.571428571428571,5,7,6.63157894736842,0.714285714285714,2,2,1.89473684210526,1,12,12,11.3684210526316,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.333333333333333,0.0952380952380952,0.571428571428571,5,7,6.63157894736842,0.714285714285714,2,2,1.89473684210526,1,12,12,11.3684210526316,1,0.476190476190476,9,10,9.47368421052632,0.9,0.3,0,0.7,2,3,2.84210526315789,0.666666666666667,0,0,0,NA,7,7,6.63157894736842,1,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,0.947368421052632,1,0,1,2,0,2,1.89473684210526,5,4.73684210526316,2,3,0.4,0,0,0,0,2,1.89473684210526,8,2,5,4.73684210526316,4,1,1,0.947368421052632,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
