"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Alleway","ORL",1,34,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,12,14,37.0588235294118,0.857142857142857,11,12,31.7647058823529,0.916666666666667,7,7,18.5294117647059,1,0.583333333333333,0.857142857142857,0.142857142857143,0,10,12,31.7647058823529,0.833333333333333,2,2,5.29411764705882,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.833333333333333,0.166666666666667,0,9,10,26.4705882352941,0.9,2,2,5.29411764705882,1,0,0,0,NA,0.5,7,7,18.5294117647059,1,0.714285714285714,0.285714285714286,0,5,5,13.2352941176471,1,2,2,5.29411764705882,1,0,0,0,NA,0,0,0,0,NA,0,0,2,4,10.5882352941176,0.285714285714286,0.5,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,2.64705882352941,4,0,3,7.94117647058824,2,1,0,0,0,2,5.29411764705882,1,2.64705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Andressa","HOU",1,92,1,0,1,0.978260869565217,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,52,59,57.7173913043478,0.88135593220339,48,54,52.8260869565217,0.888888888888889,33,38,37.1739130434783,0.868421052631579,0.703703703703704,0.457627118644068,0.288135593220339,0.254237288135593,23,27,26.4130434782609,0.851851851851852,15,17,16.6304347826087,0.882352941176471,14,15,14.6739130434783,0.933333333333333,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.462962962962963,0.259259259259259,0.277777777777778,21,25,24.4565217391304,0.84,13,14,13.695652173913,0.928571428571429,14,15,14.6739130434783,0.933333333333333,0.644067796610169,33,38,37.1739130434783,0.868421052631579,0.394736842105263,0.289473684210526,0.315789473684211,11,15,14.6739130434783,0.733333333333333,11,11,10.7608695652174,1,11,12,11.7391304347826,0.916666666666667,0,1,0.978260869565217,0.0185185185185185,0,1,0,2,3,2.93478260869565,0.0508474576271186,0.666666666666667,1,4,3.91304347826087,0.0677966101694915,0.0740740740740741,0.25,0,0,0,0,NA,2,3,0.666666666666667,0,0,2,2,1,0,0,0,0,2,2,1.95652173913043,2,0,1,1,3,4,3.91304347826087,0,0,0,0,NA,4,0,4,3.91304347826087,0,0,18,5,13,12.7173913043478,8,5,0,0,0,4,3.91304347826087,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Banini","WAS",1,95,1,0,3,2.84210526315789,0.333333333333333,1,0,2,0,2,0.666666666666667,0,0,0,1,0,0,0,1,0,0,0,0.947368421052632,0,0,0,NA,0,0,0,0,0,52,59,55.8947368421053,0.88135593220339,50,57,54,0.87719298245614,41,45,42.6315789473684,0.911111111111111,0.789473684210526,0.423728813559322,0.203389830508475,0.372881355932203,20,25,23.6842105263158,0.8,11,12,11.3684210526316,0.916666666666667,21,22,20.8421052631579,0.954545454545455,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.43859649122807,0.192982456140351,0.368421052631579,20,25,23.6842105263158,0.8,10,11,10.4210526315789,0.909090909090909,20,21,19.8947368421053,0.952380952380952,0.76271186440678,41,45,42.6315789473684,0.911111111111111,0.466666666666667,0.133333333333333,0.4,18,21,19.8947368421053,0.857142857142857,5,6,5.68421052631579,0.833333333333333,18,18,17.0526315789474,1,2,2,1.89473684210526,0.0350877192982456,1,1,1,0,0,0,0,NA,3,4,3.78947368421053,0.0677966101694915,0.0701754385964912,0.75,2,2,1.89473684210526,0.0338983050847458,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,8,7.57894736842105,5,3,0.625,6,3,12,11.3684210526316,1,0.947368421052632,1,0,1,2,1,3,2.84210526315789,3,2.84210526315789,27,4,13,12.3157894736842,5,8,1,0.947368421052632,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Belanger","ORL",1,67,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,44,49,65.8208955223881,0.897959183673469,35,37,49.7014925373134,0.945945945945946,11,12,16.1194029850746,0.916666666666667,0.324324324324324,0.387755102040816,0.387755102040816,0.224489795918367,15,19,25.5223880597015,0.789473684210526,18,19,25.5223880597015,0.947368421052632,11,11,14.7761194029851,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.297297297297297,0.486486486486487,0.216216216216216,10,11,14.7761194029851,0.909090909090909,17,18,24.1791044776119,0.944444444444444,8,8,10.7462686567164,1,0.244897959183673,11,12,16.1194029850746,0.916666666666667,0.5,0.416666666666667,0.0833333333333333,5,6,8.05970149253731,0.833333333333333,5,5,6.71641791044776,1,1,1,1.34328358208955,1,1,1,1.34328358208955,0.027027027027027,1,1,0,0,0,0,0,NA,1,1,1.34328358208955,0.0204081632653061,0.027027027027027,1,9,12,16.1194029850746,0.244897959183673,0.75,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,1.34328358208955,0,1,0,1,1,3,4.02985074626866,1,1.34328358208955,1,0,1,1,2,3,4.02985074626866,3,4.02985074626866,16,3,8,10.7462686567164,5,3,1,1.34328358208955,0,6,8.05970149253731,1,1.34328358208955,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Betos","PTFC",1,96,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,22,39,36.5625,0.564102564102564,18,29,27.1875,0.620689655172414,0,1,0.9375,0,0.0344827586206897,0.948717948717949,0.0512820512820513,0,20,37,34.6875,0.540540540540541,2,2,1.875,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.923076923076923,0.0769230769230769,0,10,12,11.25,0.833333333333333,1,1,0.9375,1,0,0,0,NA,0.0512820512820513,0,2,1.875,0,1,0,0,0,2,1.875,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,2,14,13.125,0.358974358974359,0.142857142857143,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,NA,0,0,0,0,1,0.9375,1,0,1,0,0,0,0,0,0,0,0,1,0.9375,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,1,1,0,0,7,6,1,0.857142857142857,6,1,0,2,0,8,5,3,1,1,0,3,1,2,2,0,22,39,0.564102564102564,3,3,1,0,5,0,8,18,0.444444444444444
"Brian","HOU",1,67,1,0,1,1.34328358208955,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,37,44,59.1044776119403,0.840909090909091,37,44,59.1044776119403,0.840909090909091,24,28,37.6119402985075,0.857142857142857,0.636363636363636,0.522727272727273,0.181818181818182,0.295454545454545,19,23,30.8955223880597,0.826086956521739,5,8,10.7462686567164,0.625,13,13,17.4626865671642,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.522727272727273,0.181818181818182,0.295454545454545,19,23,30.8955223880597,0.826086956521739,5,8,10.7462686567164,0.625,13,13,17.4626865671642,1,0.636363636363636,24,28,37.6119402985075,0.857142857142857,0.464285714285714,0.178571428571429,0.357142857142857,11,13,17.4626865671642,0.846153846153846,3,5,6.71641791044776,0.6,10,10,13.4328358208955,1,1,2,2.6865671641791,0.0454545454545455,0.5,1,1,0,0,0,0,NA,3,5,6.71641791044776,0.113636363636364,0.113636363636364,0.6,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,1.34328358208955,1,0,1,0,0,0,0,3,4.02985074626866,3,0,1,5,1,6,8.05970149253731,0,0,20,2,9,12.089552238806,5,4,3,4.02985074626866,0,2,2.6865671641791,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Brooks","HOU",1,26,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,9,11,38.0769230769231,0.818181818181818,9,11,38.0769230769231,0.818181818181818,1,1,3.46153846153846,1,0.0909090909090909,0.636363636363636,0.181818181818182,0.181818181818182,6,7,24.2307692307692,0.857142857142857,1,2,6.92307692307692,0.5,2,2,6.92307692307692,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.636363636363636,0.181818181818182,0.181818181818182,6,7,24.2307692307692,0.857142857142857,1,2,6.92307692307692,0.5,2,2,6.92307692307692,1,0.0909090909090909,1,1,3.46153846153846,1,0,0,1,0,0,0,NA,0,0,0,NA,1,1,3.46153846153846,1,1,1,3.46153846153846,0.0909090909090909,1,1,0,0,1,3.46153846153846,0.0909090909090909,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,1,1,3.46153846153846,1,3.46153846153846,1,0,1,1,0,1,3.46153846153846,0,0,5,1,3,10.3846153846154,3,0,0,0,0,0,0,1,3.46153846153846,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Brush","HOU",1,92,1,0,1,0.978260869565217,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,20,24,23.4782608695652,0.833333333333333,20,24,23.4782608695652,0.833333333333333,6,6,5.8695652173913,1,0.25,0.583333333333333,0.166666666666667,0.25,11,14,13.695652173913,0.785714285714286,4,4,3.91304347826087,1,5,6,5.8695652173913,0.833333333333333,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.583333333333333,0.166666666666667,0.25,11,14,13.695652173913,0.785714285714286,4,4,3.91304347826087,1,5,6,5.8695652173913,0.833333333333333,0.25,6,6,5.8695652173913,1,0.166666666666667,0.333333333333333,0.5,1,1,0.978260869565217,1,2,2,1.95652173913043,1,3,3,2.93478260869565,1,0,1,0.978260869565217,0.0416666666666667,0,0,1,0,1,0.978260869565217,0.0416666666666667,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,1,0,1,0.978260869565217,4,3.91304347826087,1,3,0.25,0,1,1,0.978260869565217,1,0.978260869565217,10,4,4,3.91304347826087,3,1,2,1.95652173913043,0,2,1.95652173913043,6,5.8695652173913,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Brynjarsdottir","PTFC",1,26,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,7,9,31.1538461538462,0.777777777777778,7,9,31.1538461538462,0.777777777777778,3,4,13.8461538461538,0.75,0.444444444444444,0.555555555555556,0.111111111111111,0.333333333333333,4,5,17.3076923076923,0.8,0,1,3.46153846153846,0,3,3,10.3846153846154,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.555555555555556,0.111111111111111,0.333333333333333,4,5,17.3076923076923,0.8,0,1,3.46153846153846,0,3,3,10.3846153846154,1,0.444444444444444,3,4,13.8461538461538,0.75,0.5,0,0.5,1,2,6.92307692307692,0.5,0,0,0,NA,2,2,6.92307692307692,1,0,1,3.46153846153846,0.111111111111111,0,1,0,1,1,3.46153846153846,0.111111111111111,1,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,1,1,3.46153846153846,0,0,0,0,NA,0,0,0,0,1,3.46153846153846,9,2,1,3.46153846153846,1,0,3,10.3846153846154,0,1,3.46153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Catley","ORL",1,92,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,33,37,36.195652173913,0.891891891891892,26,29,28.3695652173913,0.896551724137931,13,15,14.6739130434783,0.866666666666667,0.517241379310345,0.432432432432432,0.297297297297297,0.27027027027027,14,16,15.6521739130435,0.875,9,11,10.7608695652174,0.818181818181818,10,10,9.78260869565217,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.413793103448276,0.310344827586207,0.275862068965517,11,12,11.7391304347826,0.916666666666667,7,9,8.80434782608696,0.777777777777778,8,8,7.82608695652174,1,0.405405405405405,13,15,14.6739130434783,0.866666666666667,0.2,0.466666666666667,0.333333333333333,3,3,2.93478260869565,1,5,7,6.84782608695652,0.714285714285714,5,5,4.89130434782609,1,0,1,0.978260869565217,0.0344827586206897,0,1,0,0,0,0,0,NA,0,0,0,0,0,NA,5,6,5.8695652173913,0.162162162162162,0.833333333333333,2,2,1,0,0,0,0,NA,0,0,0,0,0,1,0.978260869565217,1,0,1,3,1,4,3.91304347826087,2,1.95652173913043,2,0,1,1,0,1,0.978260869565217,1,0.978260869565217,17,1,3,2.93478260869565,3,0,2,1.95652173913043,0,2,1.95652173913043,2,1.95652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
