"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Alleway","ORL",1,97,1,0,1,0.927835051546392,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,48,44.5360824742268,0.875,39,45,41.7525773195876,0.866666666666667,14,16,14.8453608247423,0.875,0.355555555555556,0.479166666666667,0.416666666666667,0.104166666666667,18,23,21.340206185567,0.782608695652174,19,20,18.5567010309278,0.95,5,5,4.63917525773196,1,0.0208333333333333,0.5625,0.416666666666667,0,1,0.927835051546392,0,23,27,25.0515463917526,0.851851851851852,19,20,18.5567010309278,0.95,0.0222222222222222,0.6,0.377777777777778,0,1,0.927835051546392,0,23,27,25.0515463917526,0.851851851851852,16,17,15.7731958762887,0.941176470588235,0,0,0,0,22,0,0,0,0,0.511111111111111,0.4,0.0888888888888889,18,23,21.340206185567,0.782608695652174,17,18,16.7010309278351,0.944444444444444,4,4,3.71134020618557,1,0.333333333333333,14,16,14.8453608247423,0.875,0.5625,0.3125,0.125,7,9,8.35051546391753,0.777777777777778,5,5,4.63917525773196,1,2,2,1.85567010309278,1,0,0,0,0,0,0,0,2,4,3.71134020618557,0.0833333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2.78350515463918,0,3,0,0,0,0,0,1,0.927835051546392,5,1,8,7.42268041237113,5,3,3,2.78350515463918,0,0,0,3,2.78350515463918,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belanger","ORL",1,97,1,0,1,0.927835051546392,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,52,48.2474226804124,0.807692307692308,32,39,36.1855670103093,0.82051282051282,13,17,15.7731958762887,0.764705882352941,0.435897435897436,0.442307692307692,0.211538461538462,0.346153846153846,14,23,21.340206185567,0.608695652173913,11,11,10.2061855670103,1,17,18,16.7010309278351,0.944444444444444,0.153846153846154,0.730769230769231,0.115384615384615,6,8,7.42268041237113,0.75,31,38,35.2577319587629,0.815789473684211,5,6,5.56701030927835,0.833333333333333,0.179487179487179,0.666666666666667,0.153846153846154,5,7,6.49484536082474,0.714285714285714,22,26,24.1237113402062,0.846153846153846,5,6,5.56701030927835,0.833333333333333,0,0,0,1,27,1,0,0,1,0.435897435897436,0.230769230769231,0.333333333333333,11,17,15.7731958762887,0.647058823529412,9,9,8.35051546391753,1,12,13,12.0618556701031,0.923076923076923,0.326923076923077,13,17,15.7731958762887,0.764705882352941,0.470588235294118,0.176470588235294,0.352941176470588,5,8,7.42268041237113,0.625,3,3,2.78350515463918,1,5,6,5.56701030927835,0.833333333333333,1,1,0.927835051546392,0.0256410256410256,1,1,0,1,1,0.927835051546392,0.0192307692307692,1,0,0,0,0,0,0,7,10,9.27835051546392,0.192307692307692,0.7,0,0,0,0,0,3,3,1,0,0,0,0,3,4,3.71134020618557,4,0,1,2,2,4,3.71134020618557,1,0.927835051546392,0,1,0,1,1,2,1.85567010309278,4,3.71134020618557,8,4,7,6.49484536082474,2,5,6,5.56701030927835,0,0,0,5,4.63917525773196,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Betos","PTFC",1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,34,31.5463917525773,0.823529411764706,25,27,25.0515463917526,0.925925925925926,3,3,2.78350515463918,1,0.111111111111111,0.735294117647059,0.264705882352941,0,19,25,23.1958762886598,0.76,9,9,8.35051546391753,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28,34,31.5463917525773,0.823529411764706,0,0,1,0,0,0,0,0,0,0,0,25,27,25.0515463917526,0.925925925925926,4,7,0,0,0,0,0,0,0,0.636363636363636,0.363636363636364,0,14,14,12.9896907216495,1,8,8,7.42268041237113,1,0,0,0,0,0.0882352941176471,3,3,2.78350515463918,1,0.333333333333333,0.666666666666667,0,1,1,0.927835051546392,1,2,2,1.85567010309278,1,0,0,0,0,0,0,0,0,0,0,0,8,14,12.9896907216495,0.411764705882353,0.571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.927835051546392,1,0,0,0,0,0,0,2,1.85567010309278,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.333333333333333,2,2,0,0,4,4,0,1,0,0,1,4,0,3,3,0,2,2,0,0,0,0,2,0,28,34,0.823529411764706,1,1,1,2,5,0.4,3,6,0.5
"Brynjarsdottir","PTFC",1,26,0,1,1,3.46153846153846,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.46153846153846,1,1,0,0,0,0,0,6,6,20.7692307692308,1,6,6,20.7692307692308,1,5,5,17.3076923076923,1,0.833333333333333,0.333333333333333,0.166666666666667,0.5,2,2,6.92307692307692,1,1,1,3.46153846153846,1,3,3,10.3846153846154,1,0.166666666666667,0.833333333333333,0,1,1,3.46153846153846,1,5,5,17.3076923076923,1,0,0,0,0,0.166666666666667,0.833333333333333,0,1,1,3.46153846153846,1,5,5,17.3076923076923,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0.333333333333333,0.166666666666667,0.5,2,2,6.92307692307692,1,1,1,3.46153846153846,1,3,3,10.3846153846154,1,0.833333333333333,5,5,17.3076923076923,1,0.2,0.2,0.6,1,1,3.46153846153846,1,1,1,3.46153846153846,1,3,3,10.3846153846154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.46153846153846,1,0,1,0,0,0,0,4,13.8461538461538,2,2,0.5,0,0,0,0,0,0,7,1,1,3.46153846153846,1,0,1,3.46153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkenroad","ORL",1,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,21.7241379310345,0.785714285714286,11,14,21.7241379310345,0.785714285714286,9,11,17.0689655172414,0.818181818181818,0.785714285714286,0.285714285714286,0.357142857142857,0.357142857142857,2,4,6.20689655172414,0.5,5,5,7.75862068965517,1,4,5,7.75862068965517,0.8,0.285714285714286,0.571428571428571,0.142857142857143,3,4,6.20689655172414,0.75,7,8,12.4137931034483,0.875,1,2,3.10344827586207,0.5,0.285714285714286,0.571428571428571,0.142857142857143,3,4,6.20689655172414,0.75,7,8,12.4137931034483,0.875,1,2,3.10344827586207,0.5,0,0,0,0,6,0,0,0,0,0.285714285714286,0.357142857142857,0.357142857142857,2,4,6.20689655172414,0.5,5,5,7.75862068965517,1,4,5,7.75862068965517,0.8,0.785714285714286,9,11,17.0689655172414,0.818181818181818,0.272727272727273,0.363636363636364,0.363636363636364,2,3,4.6551724137931,0.666666666666667,4,4,6.20689655172414,1,3,4,6.20689655172414,0.75,1,1,1.55172413793103,0.0714285714285714,1,1,0,0,1,1.55172413793103,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.55172413793103,0,1,0,0,0,1,1.55172413793103,3,4.6551724137931,2,1,0.666666666666667,1,1,2,3.10344827586207,0,0,17,0,3,4.6551724137931,2,1,0,0,0,1,1.55172413793103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catley","ORL",1,97,1,0,1,0.927835051546392,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,62,57.5257731958763,0.806451612903226,35,46,42.680412371134,0.760869565217391,24,29,26.9072164948454,0.827586206896552,0.630434782608696,0.451612903225806,0.306451612903226,0.241935483870968,18,28,25.979381443299,0.642857142857143,17,19,17.6288659793814,0.894736842105263,15,15,13.9175257731959,1,0.225806451612903,0.661290322580645,0.112903225806452,12,14,12.9896907216495,0.857142857142857,33,41,38.0412371134021,0.804878048780488,5,7,6.49484536082474,0.714285714285714,0.130434782608696,0.739130434782609,0.130434782608696,5,6,5.56701030927835,0.833333333333333,26,34,31.5463917525773,0.764705882352941,4,6,5.56701030927835,0.666666666666667,0,0,0,0,22,1,0,0,0,0.478260869565217,0.282608695652174,0.239130434782609,12,22,20.4123711340206,0.545454545454545,12,13,12.0618556701031,0.923076923076923,11,11,10.2061855670103,1,0.467741935483871,24,29,26.9072164948454,0.827586206896552,0.482758620689655,0.241379310344828,0.275862068965517,10,14,12.9896907216495,0.714285714285714,6,7,6.49484536082474,0.857142857142857,8,8,7.42268041237113,1,1,4,3.71134020618557,0.0869565217391304,0.25,2,2,1,5,4.63917525773196,0.0806451612903226,0.2,1,1,0.927835051546392,0.0161290322580645,0.0217391304347826,1,12,12,11.1340206185567,0.193548387096774,1,3,3,1,0,0,0,1,0,0,0,0,0,1,6,5.56701030927835,5,1,0.833333333333333,2,0,3,2.78350515463918,7,6.49484536082474,4,3,0.571428571428571,2,1,3,2.78350515463918,0,0,13,1,4,3.71134020618557,2,2,1,0.927835051546392,0,2,1.85567010309278,2,1.85567010309278,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edmonds","ORL",1,97,1,0,1,0.927835051546392,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,27.8350515463918,0.666666666666667,19,26,24.1237113402062,0.730769230769231,12,14,12.9896907216495,0.857142857142857,0.538461538461538,0.266666666666667,0.4,0.333333333333333,4,8,7.42268041237113,0.5,7,12,11.1340206185567,0.583333333333333,9,10,9.27835051546392,0.9,0.3,0.666666666666667,0.0333333333333333,3,9,8.35051546391753,0.333333333333333,16,20,18.5567010309278,0.8,1,1,0.927835051546392,1,0.192307692307692,0.769230769230769,0.0384615384615385,2,5,4.63917525773196,0.4,16,20,18.5567010309278,0.8,1,1,0.927835051546392,1,0,0,0,0,14,0,0,0,0,0.307692307692308,0.307692307692308,0.384615384615385,4,8,7.42268041237113,0.5,6,8,7.42268041237113,0.75,9,10,9.27835051546392,0.9,0.466666666666667,12,14,12.9896907216495,0.857142857142857,0.214285714285714,0.285714285714286,0.5,1,3,2.78350515463918,0.333333333333333,4,4,3.71134020618557,1,7,7,6.49484536082474,1,1,3,2.78350515463918,0.115384615384615,0.333333333333333,2,1,0,0,0,0,0,0,1,0.927835051546392,0.0333333333333333,0.0384615384615385,0,0,0,0,0,0,1,4,0.25,0,0,0,0,0,0,0,0,0,0,2,1.85567010309278,1,1,0.5,5,1,7,6.49484536082474,1,0.927835051546392,0,1,0,1,0,1,0.927835051546392,0,0,19,1,7,6.49484536082474,6,1,1,0.927835051546392,0,2,1.85567010309278,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edwards","ORL",1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,27,0.333333333333333,1,3,27,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0.333333333333333,0,2,18,0,0,0,0,0,1,1,9,1,0.333333333333333,0.666666666666667,0,0,1,9,0,1,2,18,0.5,0,0,0,0,0.333333333333333,0.666666666666667,0,0,1,9,0,1,2,18,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0.666666666666667,0,0.333333333333333,0,2,18,0,0,0,0,0,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,0,0,0,0,0,0,0,4,3,2,18,0,2,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fields","ORL",1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,23.0769230769231,0.5,5,10,23.0769230769231,0.5,5,6,13.8461538461538,0.833333333333333,0.6,0.4,0.3,0.3,2,4,9.23076923076923,0.5,0,3,6.92307692307692,0,3,3,6.92307692307692,1,0.4,0.6,0,0,4,9.23076923076923,0,5,6,13.8461538461538,0.833333333333333,0,0,0,0,0.4,0.6,0,0,4,9.23076923076923,0,5,6,13.8461538461538,0.833333333333333,0,0,0,0,0,0,0,0,2,0,0,0,0,0.4,0.3,0.3,2,4,9.23076923076923,0.5,0,3,6.92307692307692,0,3,3,6.92307692307692,1,0.6,5,6,13.8461538461538,0.833333333333333,0.5,0,0.5,2,3,6.92307692307692,0.666666666666667,0,0,0,0,3,3,6.92307692307692,1,0,2,4.61538461538461,0.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.61538461538461,1,1,0.5,0,1,2,4.61538461538461,1,2.30769230769231,1,0,1,0,0,0,0,0,0,2,0,2,4.61538461538461,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harris","ORL",1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,19.4845360824742,0.904761904761905,12,13,12.0618556701031,0.923076923076923,1,1,0.927835051546392,1,0.0769230769230769,0.761904761904762,0.238095238095238,0,14,16,14.8453608247423,0.875,5,5,4.63917525773196,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,21,19.4845360824742,0.904761904761905,0,0,1,0,0,0,0,0,0,0,0,12,13,12.0618556701031,0.923076923076923,1,4,0,0,0,0,0,0,0,0.636363636363636,0.363636363636364,0,7,7,6.49484536082474,1,4,4,3.71134020618557,1,0,0,0,0,0.0476190476190476,1,1,0.927835051546392,1,0,1,0,0,0,0,0,1,1,0.927835051546392,1,0,0,0,0,0,0,0,0,0,0,0,4,6,5.56701030927835,0.285714285714286,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,2,1,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,2,0,2,0,0,19,21,0.904761904761905,6,6,1,1,1,1,1,3,0.333333333333333
