"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","no","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Arlitt","FCKC",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.89473684210526,0.5,1,2,1.89473684210526,0.5,1,2,1.89473684210526,0.5,1,0.5,0.5,0,0,1,0.947368421052632,0,1,1,0.947368421052632,1,0,0,0,0,0.5,0,0.5,1,1,0.947368421052632,1,0,0,0,0,0,1,0.947368421052632,0,0.5,0,0.5,1,1,0.947368421052632,1,0,0,0,0,0,1,0.947368421052632,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0,0,1,0.947368421052632,0,1,1,0.947368421052632,1,0,0,0,0,1,1,2,1.89473684210526,0.5,0.5,0.5,0,0,1,0.947368421052632,0,1,1,0.947368421052632,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0.947368421052632,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Averbuch","FCKC",1,95,1,0,2,1.89473684210526,0.5,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,88,83.3684210526316,0.784090909090909,67,86,81.4736842105263,0.779069767441861,36,48,45.4736842105263,0.75,0.558139534883721,0.693181818181818,0.125,0.181818181818182,43,61,57.7894736842105,0.704918032786885,10,11,10.4210526315789,0.909090909090909,16,16,15.1578947368421,1,0.0340909090909091,0.420454545454545,0.545454545454545,2,3,2.84210526315789,0.666666666666667,24,37,35.0526315789474,0.648648648648649,43,48,45.4736842105263,0.895833333333333,0.0348837209302326,0.418604651162791,0.546511627906977,2,3,2.84210526315789,0.666666666666667,23,36,34.1052631578947,0.638888888888889,42,47,44.5263157894737,0.893617021276596,26,16,1,1,16,7,0,0,2,0.697674418604651,0.127906976744186,0.174418604651163,42,60,56.8421052631579,0.7,10,11,10.4210526315789,0.909090909090909,15,15,14.2105263157895,1,0.545454545454545,36,48,45.4736842105263,0.75,0.6875,0.125,0.1875,22,33,31.2631578947368,0.666666666666667,5,6,5.68421052631579,0.833333333333333,9,9,8.52631578947368,1,0,0,0,0,0,0,0,4,13,12.3157894736842,0.147727272727273,0.307692307692308,0,0,0,0,0,0,1,1,0.947368421052632,0.0113636363636364,1,0,0,0,0,0,1,1,1,0,0,1,0,2,1,0.947368421052632,1,0,1,0,0,0,0,4,3.78947368421053,2,2,0.5,4,1,5,4.73684210526316,3,2.84210526315789,16,4,11,10.4210526315789,11,0,5,4.73684210526316,0,7,6.63157894736842,4,3.78947368421053,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnes","SRFC",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,63,59.6842105263158,0.888888888888889,51,54,51.1578947368421,0.944444444444444,36,39,36.9473684210526,0.923076923076923,0.722222222222222,0.603174603174603,0.174603174603175,0.222222222222222,34,38,36,0.894736842105263,9,11,10.4210526315789,0.818181818181818,13,14,13.2631578947368,0.928571428571429,0.0476190476190476,0.507936507936508,0.444444444444444,1,3,2.84210526315789,0.333333333333333,29,32,30.3157894736842,0.90625,26,28,26.5263157894737,0.928571428571429,0.0185185185185185,0.518518518518518,0.462962962962963,1,1,0.947368421052632,1,27,28,26.5263157894737,0.964285714285714,23,25,23.6842105263158,0.92,17,9,0,2,25,2,0,0,1,0.592592592592593,0.166666666666667,0.240740740740741,30,32,30.3157894736842,0.9375,9,9,8.52631578947368,1,12,13,12.3157894736842,0.923076923076923,0.619047619047619,36,39,36.9473684210526,0.923076923076923,0.461538461538462,0.205128205128205,0.333333333333333,16,18,17.0526315789474,0.888888888888889,8,8,7.57894736842105,1,12,13,12.3157894736842,0.923076923076923,0,0,0,0,0,0,0,2,2,1.89473684210526,0.0317460317460317,1,3,3,2.84210526315789,0.0476190476190476,0.0555555555555556,1,4,6,5.68421052631579,0.0952380952380952,0.666666666666667,0,2,0,0,0,1,1,1,0,0,0,0,1,1,0.947368421052632,1,0,1,0,0,0,0,1,0.947368421052632,0,1,0,0,0,0,0,0,0,5,1,7,6.63157894736842,7,0,5,4.73684210526316,0,2,1.89473684210526,6,5.68421052631579,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,52,49.2631578947368,0.942307692307692,45,47,44.5263157894737,0.957446808510638,2,2,1.89473684210526,1,0.0425531914893617,0.807692307692308,0.192307692307692,0,39,42,39.7894736842105,0.928571428571429,10,10,9.47368421052632,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48,51,48.3157894736842,0.941176470588235,0,0,1,0,0,0,0,0,0,0,0,44,46,43.5789473684211,0.956521739130435,40,8,0,0,0,0,0,0,0,0.852941176470588,0.147058823529412,0,27,29,27.4736842105263,0.931034482758621,5,5,4.73684210526316,1,0,0,0,0,0.0576923076923077,3,3,2.84210526315789,1,1,0,0,3,3,2.84210526315789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.89473684210526,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.947368421052632,1,0,1,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,52,0.942307692307692,3,3,1,0,0,0,14,15,0.933333333333333
"Buczkowski","FCKC",1,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,39,40.3448275862069,0.871794871794872,34,39,40.3448275862069,0.871794871794872,28,32,33.1034482758621,0.875,0.82051282051282,0.461538461538462,0.230769230769231,0.307692307692308,15,18,18.6206896551724,0.833333333333333,7,9,9.31034482758621,0.777777777777778,12,12,12.4137931034483,1,0.0769230769230769,0.564102564102564,0.358974358974359,2,3,3.10344827586207,0.666666666666667,20,22,22.7586206896552,0.909090909090909,12,14,14.4827586206897,0.857142857142857,0.0769230769230769,0.564102564102564,0.358974358974359,2,3,3.10344827586207,0.666666666666667,20,22,22.7586206896552,0.909090909090909,12,14,14.4827586206897,0.857142857142857,8,3,0,2,15,2,0,0,2,0.461538461538462,0.230769230769231,0.307692307692308,15,18,18.6206896551724,0.833333333333333,7,9,9.31034482758621,0.777777777777778,12,12,12.4137931034483,1,0.82051282051282,28,32,33.1034482758621,0.875,0.40625,0.28125,0.3125,11,13,13.448275862069,0.846153846153846,7,9,9.31034482758621,0.777777777777778,10,10,10.3448275862069,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.03448275862069,0.0256410256410256,0.0256410256410256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.03448275862069,0,0,0,0,0,3,1,4,4.13793103448276,1,1.03448275862069,43,4,6,6.20689655172414,5,1,1,1.03448275862069,0,1,1.03448275862069,1,1.03448275862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corsie","SRFC",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,55,52.1052631578947,0.854545454545454,46,54,51.1578947368421,0.851851851851852,34,39,36.9473684210526,0.871794871794872,0.722222222222222,0.709090909090909,0.163636363636364,0.127272727272727,32,39,36.9473684210526,0.82051282051282,8,9,8.52631578947368,0.888888888888889,7,7,6.63157894736842,1,0.0363636363636364,0.472727272727273,0.490909090909091,1,2,1.89473684210526,0.5,22,26,24.6315789473684,0.846153846153846,24,27,25.5789473684211,0.888888888888889,0.037037037037037,0.462962962962963,0.5,1,2,1.89473684210526,0.5,21,25,23.6842105263158,0.84,24,27,25.5789473684211,0.888888888888889,12,12,0,1,15,6,0,1,0,0.722222222222222,0.148148148148148,0.12962962962963,32,39,36.9473684210526,0.82051282051282,7,8,7.57894736842105,0.875,7,7,6.63157894736842,1,0.709090909090909,34,39,36.9473684210526,0.871794871794872,0.641025641025641,0.179487179487179,0.179487179487179,20,25,23.6842105263158,0.8,7,7,6.63157894736842,1,7,7,6.63157894736842,1,1,2,1.89473684210526,0.037037037037037,0.5,1,1,2,4,3.78947368421053,0.0727272727272727,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1.89473684210526,2,0,1,0,2,2,1.89473684210526,6,5.68421052631579,4,2,0.666666666666667,1,0,1,0.947368421052632,0,0,6,2,4,3.78947368421053,3,1,2,1.89473684210526,0,2,1.89473684210526,5,4.73684210526316,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cruz","SRFC",1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,51.4285714285714,0.75,6,8,51.4285714285714,0.75,6,7,45,0.857142857142857,0.875,0.5,0.125,0.375,2,4,25.7142857142857,0.5,1,1,6.42857142857143,1,3,3,19.2857142857143,1,0.25,0.625,0.125,2,2,12.8571428571429,1,4,5,32.1428571428571,0.8,0,1,6.42857142857143,0,0.25,0.625,0.125,2,2,12.8571428571429,1,4,5,32.1428571428571,0.8,0,1,6.42857142857143,0,0,0,0,1,3,0,0,0,2,0.5,0.125,0.375,2,4,25.7142857142857,0.5,1,1,6.42857142857143,1,3,3,19.2857142857143,1,0.875,6,7,45,0.857142857142857,0.428571428571429,0.142857142857143,0.428571428571429,2,3,19.2857142857143,0.666666666666667,1,1,6.42857142857143,1,3,3,19.2857142857143,1,0,0,0,0,0,0,0,0,1,6.42857142857143,0.125,0,1,1,6.42857142857143,0.125,0.125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.42857142857143,0,0,0,0,0,0,0,0,0,0,0,1,2,2,12.8571428571429,2,0,1,6.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dallstream","SRFC",1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,58.5,0.846153846153846,11,13,58.5,0.846153846153846,10,12,54,0.833333333333333,0.923076923076923,0.384615384615385,0.307692307692308,0.307692307692308,3,5,22.5,0.6,4,4,18,1,4,4,18,1,0.692307692307692,0.230769230769231,0.0769230769230769,9,9,40.5,1,2,3,13.5,0.666666666666667,0,1,4.5,0,0.692307692307692,0.230769230769231,0.0769230769230769,9,9,40.5,1,2,3,13.5,0.666666666666667,0,1,4.5,0,0,0,0,1,1,0,0,0,9,0.384615384615385,0.307692307692308,0.307692307692308,3,5,22.5,0.6,4,4,18,1,4,4,18,1,0.923076923076923,10,12,54,0.833333333333333,0.416666666666667,0.333333333333333,0.25,3,5,22.5,0.6,4,4,18,1,3,3,13.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,0,1,0,0,0,0,0,1,4.5,15,0,1,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elston","SRFC",1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,19.2857142857143,0.333333333333333,2,6,19.2857142857143,0.333333333333333,1,4,12.8571428571429,0.25,0.666666666666667,0.666666666666667,0.333333333333333,0,2,4,12.8571428571429,0.5,0,2,6.42857142857143,0,0,0,0,0,0.5,0.5,0,1,3,9.64285714285714,0.333333333333333,1,3,9.64285714285714,0.333333333333333,0,0,0,0,0.5,0.5,0,1,3,9.64285714285714,0.333333333333333,1,3,9.64285714285714,0.333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,1,0.666666666666667,0.333333333333333,0,2,4,12.8571428571429,0.5,0,2,6.42857142857143,0,0,0,0,0,0.666666666666667,1,4,12.8571428571429,0.25,0.5,0.5,0,1,2,6.42857142857143,0.5,0,2,6.42857142857143,0,0,0,0,0,0,1,3.21428571428571,0.166666666666667,0,1,0,0,0,0,0,0,1,1,3.21428571428571,0.166666666666667,0.166666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9.64285714285714,0,0,0,0,0,1,0,1,3.21428571428571,0,0,14,2,0,0,0,0,0,0,0,1,3.21428571428571,2,6.42857142857143,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",1,68,1,0,1,1.32352941176471,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,35,46.3235294117647,0.8,24,29,38.3823529411765,0.827586206896552,20,23,30.4411764705882,0.869565217391304,0.793103448275862,0.628571428571429,0.142857142857143,0.228571428571429,15,22,29.1176470588235,0.681818181818182,5,5,6.61764705882353,1,8,8,10.5882352941176,1,0.142857142857143,0.685714285714286,0.171428571428571,3,5,6.61764705882353,0.6,20,24,31.7647058823529,0.833333333333333,5,6,7.94117647058824,0.833333333333333,0.0689655172413793,0.724137931034483,0.206896551724138,2,2,2.64705882352941,1,17,21,27.7941176470588,0.80952380952381,5,6,7.94117647058824,0.833333333333333,4,1,0,1,13,6,0,0,3,0.586206896551724,0.172413793103448,0.241379310344828,12,17,22.5,0.705882352941177,5,5,6.61764705882353,1,7,7,9.26470588235294,1,0.657142857142857,20,23,30.4411764705882,0.869565217391304,0.478260869565217,0.217391304347826,0.304347826086957,8,11,14.5588235294118,0.727272727272727,5,5,6.61764705882353,1,7,7,9.26470588235294,1,0,0,0,0,0,0,0,0,2,2.64705882352941,0.0571428571428571,0,1,1,1.32352941176471,0.0285714285714286,0.0344827586206897,1,4,6,7.94117647058824,0.171428571428571,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2.64705882352941,5,6.61764705882353,3,2,0.6,1,0,1,1.32352941176471,0,0,7,4,3,3.97058823529412,3,0,2,2.64705882352941,0,5,6.61764705882353,1,1.32352941176471,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
