"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","NA","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","no","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Brynjarsdottir","PTFC",1,99,1,1,1,0.909090909090909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.909090909090909,1,0.909090909090909,1,1,0,0,0,0,0,21,29,26.3636363636364,0.724137931034483,20,28,25.4545454545455,0.714285714285714,11,14,12.7272727272727,0.785714285714286,0.5,0.517241379310345,0.275862068965517,0.206896551724138,8,15,13.6363636363636,0.533333333333333,7,8,7.27272727272727,0.875,6,6,5.45454545454546,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.285714285714286,0.214285714285714,7,14,12.7272727272727,0.5,7,8,7.27272727272727,0.875,6,6,5.45454545454546,1,0.482758620689655,11,14,12.7272727272727,0.785714285714286,0.428571428571429,0.357142857142857,0.214285714285714,3,6,5.45454545454546,0.5,5,5,4.54545454545454,1,3,3,2.72727272727273,1,1,1,0.909090909090909,0.0357142857142857,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.909090909090909,0.0344827586206897,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1.81818181818182,16,14.5454545454545,8,8,0.5,3,3,6,5.45454545454546,2,1.81818181818182,30,5,8,7.27272727272727,3,5,0,0,0,5,4.54545454545454,2,1.81818181818182,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","BOS",1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,25.4545454545455,0.642857142857143,16,23,20.9090909090909,0.695652173913043,10,12,10.9090909090909,0.833333333333333,0.521739130434783,0.75,0.214285714285714,0.0357142857142857,12,21,19.0909090909091,0.571428571428571,5,6,5.45454545454546,0.833333333333333,1,1,0.909090909090909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695652173913043,0.260869565217391,0.0434782608695652,10,16,14.5454545454545,0.625,5,6,5.45454545454546,0.833333333333333,1,1,0.909090909090909,1,0.428571428571429,10,12,10.9090909090909,0.833333333333333,0.583333333333333,0.333333333333333,0.0833333333333333,5,7,6.36363636363636,0.714285714285714,4,4,3.63636363636364,1,1,1,0.909090909090909,1,0,0,0,0,0,0,0,0,3,2.72727272727273,0.107142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.4,0,0,0,0,5,1,0.909090909090909,0,1,0,0,0,1,0,0.909090909090909,1,0.909090909090909,1,0,1,0,0,0,0,0,0,12,2,9,8.18181818181818,5,4,2,1.81818181818182,0,7,6.36363636363636,7,6.36363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Franch","PTFC",1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,39,35.4545454545455,0.58974358974359,15,29,26.3636363636364,0.517241379310345,4,5,4.54545454545454,0.8,0.172413793103448,0.923076923076923,0.0769230769230769,0,20,36,32.7272727272727,0.555555555555556,3,3,2.72727272727273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896551724137931,0.103448275862069,0,12,26,23.6363636363636,0.461538461538462,3,3,2.72727272727273,1,0,0,0,0,0.128205128205128,4,5,4.54545454545454,0.8,0.8,0.2,0,3,4,3.63636363636364,0.75,1,1,0.909090909090909,1,0,0,0,0,0,0,0,0,0,0,0,9,16,14.5454545454545,0.41025641025641,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.909090909090909,1,0,1,0.909090909090909,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,4,0,1,3,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,23,39,0.58974358974359,4,4,1,2,2,1,3,15,0.2
"Heath","PTFC",1,97,1,0,4,3.71134020618557,1,4,0,0,0,3,0.75,0,0,0,0,0,0,1,2,1,0,0.927835051546392,1.85567010309278,0,0,0,0,0,0,0,0,0,31,40,37.1134020618557,0.775,28,36,33.4020618556701,0.777777777777778,25,30,27.8350515463918,0.833333333333333,0.833333333333333,0.4,0.375,0.225,13,16,14.8453608247423,0.8125,10,15,13.9175257731959,0.666666666666667,8,9,8.35051546391753,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388888888888889,0.388888888888889,0.222222222222222,11,14,12.9896907216495,0.785714285714286,10,14,12.9896907216495,0.714285714285714,7,8,7.42268041237113,0.875,0.75,25,30,27.8350515463918,0.833333333333333,0.366666666666667,0.433333333333333,0.2,9,11,10.2061855670103,0.818181818181818,10,13,12.0618556701031,0.769230769230769,6,6,5.56701030927835,1,2,5,4.63917525773196,0.138888888888889,0.4,4,1,1,1,0.927835051546392,0.025,1,3,5,4.63917525773196,0.125,0.138888888888889,0.6,0,0,0,0,0,1,2,0.5,0,0,2,2,1,0,1,0,0,2,6,5.56701030927835,3,3,0.5,6,0,9,0,8.35051546391753,1,0.927835051546392,1,0,1,0,0,0,0,1,0.927835051546392,18,4,7,6.49484536082474,5,2,1,0.927835051546392,0,3,2.78350515463918,2,1.85567010309278,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","PTFC",1,99,1,0,1,0.909090909090909,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.909090909090909,0,0,0,1,0,0,0,44,49,44.5454545454545,0.897959183673469,44,49,44.5454545454545,0.897959183673469,28,29,26.3636363636364,0.96551724137931,0.591836734693878,0.387755102040816,0.36734693877551,0.244897959183673,14,19,17.2727272727273,0.736842105263158,18,18,16.3636363636364,1,12,12,10.9090909090909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387755102040816,0.36734693877551,0.244897959183673,14,19,17.2727272727273,0.736842105263158,18,18,16.3636363636364,1,12,12,10.9090909090909,1,0.591836734693878,28,29,26.3636363636364,0.96551724137931,0.275862068965517,0.482758620689655,0.241379310344828,7,8,7.27272727272727,0.875,14,14,12.7272727272727,1,7,7,6.36363636363636,1,1,1,0.909090909090909,0.0204081632653061,1,1,0,0,0,0,0,0,1,2,1.81818181818182,0.0408163265306122,0.0408163265306122,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.909090909090909,1,0,1,4,1,5,0,4.54545454545454,14,12.7272727272727,8,6,0.571428571428571,1,1,2,1.81818181818182,1,0.909090909090909,19,6,13,11.8181818181818,5,8,1,0.909090909090909,0,2,1.81818181818182,3,2.72727272727273,0,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kallman","BOS",1,99,1,0,1,0.909090909090909,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,19.0909090909091,0.904761904761905,16,16,14.5454545454545,1,6,6,5.45454545454546,1,0.375,0.476190476190476,0.19047619047619,0.333333333333333,8,10,9.09090909090909,0.8,4,4,3.63636363636364,1,7,7,6.36363636363636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0.25,0.4375,5,5,4.54545454545454,1,4,4,3.63636363636364,1,7,7,6.36363636363636,1,0.285714285714286,6,6,5.45454545454546,1,0.166666666666667,0.166666666666667,0.666666666666667,1,1,0.909090909090909,1,1,1,0.909090909090909,1,4,4,3.63636363636364,1,0,0,0,0,0,0,0,1,3,2.72727272727273,0.142857142857143,0.333333333333333,0,0,0,0,0,0,1,1,0.909090909090909,0.0476190476190476,1,0,0,0,0,0,2,4,0.5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,8.18181818181818,3,6,0.333333333333333,0,0,0,0,0,0,13,4,7,6.36363636363636,5,2,1,0.909090909090909,0,3,2.72727272727273,8,7.27272727272727,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"King","BOS",1,99,1,0,1,0.909090909090909,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,27,24.5454545454545,0.703703703703704,9,17,15.4545454545455,0.529411764705882,6,12,10.9090909090909,0.5,0.705882352941177,0.555555555555556,0.296296296296296,0.148148148148148,10,15,13.6363636363636,0.666666666666667,5,8,7.27272727272727,0.625,4,4,3.63636363636364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470588235294118,0.411764705882353,0.117647058823529,3,8,7.27272727272727,0.375,4,7,6.36363636363636,0.571428571428571,2,2,1.81818181818182,1,0.444444444444444,6,12,10.9090909090909,0.5,0.5,0.333333333333333,0.166666666666667,2,6,5.45454545454546,0.333333333333333,2,4,3.63636363636364,0.5,2,2,1.81818181818182,1,0,3,2.72727272727273,0.176470588235294,0,3,0,0,0,0,0,0,0,1,0.909090909090909,0.037037037037037,0.0588235294117647,0,10,10,9.09090909090909,0.37037037037037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.909090909090909,2,1.81818181818182,1,1,0.5,8,1,9,8.18181818181818,3,2.72727272727273,28,3,6,5.45454545454546,4,2,2,1.81818181818182,0,4,3.63636363636364,7,6.36363636363636,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klingenberg","PTFC",1,99,1,0,1,0.909090909090909,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.909090909090909,0,0,0,0,0,0,0,0,0,48,61,55.4545454545455,0.786885245901639,37,49,44.5454545454545,0.755102040816326,24,30,27.2727272727273,0.8,0.612244897959184,0.442622950819672,0.426229508196721,0.131147540983607,19,27,24.5454545454545,0.703703703703704,21,26,23.6363636363636,0.807692307692308,8,8,7.27272727272727,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489795918367347,0.408163265306122,0.102040816326531,16,24,21.8181818181818,0.666666666666667,16,20,18.1818181818182,0.8,5,5,4.54545454545454,1,0.491803278688525,24,30,27.2727272727273,0.8,0.466666666666667,0.433333333333333,0.1,9,14,12.7272727272727,0.642857142857143,12,13,11.8181818181818,0.923076923076923,3,3,2.72727272727273,1,1,6,5.45454545454546,0.122448979591837,0.166666666666667,4,2,1,1,0.909090909090909,0.0163934426229508,1,1,4,3.63636363636364,0.0655737704918033,0.0816326530612245,0.25,11,12,10.9090909090909,0.19672131147541,0.916666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.72727272727273,1,2,0.333333333333333,1,2,5,0,4.54545454545454,1,0.909090909090909,1,0,1,0,0,0,0,1,0.909090909090909,6,5,15,13.6363636363636,8,7,3,2.72727272727273,0,2,1.81818181818182,1,0.909090909090909,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Long","PTFC",1,99,1,0,1,0.909090909090909,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,56,50.9090909090909,0.946428571428571,48,51,46.3636363636364,0.941176470588235,31,33,30,0.939393939393939,0.647058823529412,0.428571428571429,0.375,0.196428571428571,21,24,21.8181818181818,0.875,21,21,19.0909090909091,1,11,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392156862745098,0.411764705882353,0.196078431372549,17,20,18.1818181818182,0.85,21,21,19.0909090909091,1,10,10,9.09090909090909,1,0.589285714285714,31,33,30,0.939393939393939,0.393939393939394,0.424242424242424,0.181818181818182,11,13,11.8181818181818,0.846153846153846,14,14,12.7272727272727,1,6,6,5.45454545454546,1,0,0,0,0,0,0,0,3,4,3.63636363636364,0.0714285714285714,0.75,3,3,2.72727272727273,0.0535714285714286,0.0588235294117647,1,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,5,2,1.81818181818182,1,1,0.5,1,0,2,0,1.81818181818182,6,5.45454545454546,4,2,0.666666666666667,2,0,2,1.81818181818182,1,0.909090909090909,21,4,9,8.18181818181818,6,3,0,0,0,5,4.54545454545454,2,1.81818181818182,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"McCaffrey","BOS",1,88,1,0,3,3.06818181818182,0.333333333333333,1,0,2,0,2,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,15.3409090909091,0.8,12,15,15.3409090909091,0.8,10,11,11.25,0.909090909090909,0.733333333333333,0.133333333333333,0.533333333333333,0.333333333333333,2,2,2.04545454545455,1,5,8,8.18181818181818,0.625,5,5,5.11363636363636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333333333,0.533333333333333,0.333333333333333,2,2,2.04545454545455,1,5,8,8.18181818181818,0.625,5,5,5.11363636363636,1,0.733333333333333,10,11,11.25,0.909090909090909,0.181818181818182,0.454545454545455,0.363636363636364,2,2,2.04545454545455,1,4,5,5.11363636363636,0.8,4,4,4.09090909090909,1,1,2,2.04545454545455,0.133333333333333,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10.2272727272727,7,3,0.7,2,6,11,0,11.25,2,2.04545454545455,1,1,0.5,1,1,2,2.04545454545455,0,0,23,3,6,6.13636363636364,3,3,1,1.02272727272727,0,1,1.02272727272727,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
