"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Beckmann","BOS",1,60,1,0,1,1.5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,23,34.5,0.782608695652174,18,23,34.5,0.782608695652174,15,17,25.5,0.882352941176471,0.739130434782609,0.217391304347826,0.391304347826087,0.391304347826087,3,5,7.5,0.6,6,9,13.5,0.666666666666667,9,9,13.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217391304347826,0.391304347826087,0.391304347826087,3,5,7.5,0.6,6,9,13.5,0.666666666666667,9,9,13.5,1,0.739130434782609,15,17,25.5,0.882352941176471,0.176470588235294,0.411764705882353,0.411764705882353,2,3,4.5,0.666666666666667,6,7,10.5,0.857142857142857,7,7,10.5,1,0,1,1.5,0.0434782608695652,0,1,0,0,0,0,0,0,0,1,1.5,0.0434782608695652,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,2,4,0.333333333333333,2,1,7,10.5,7,10.5,2,5,0.285714285714286,1,0,1,1.5,0,0,13,3,5,7.5,2,3,1,1.5,0,1,1.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dahlkemper","WNYF",1,90,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,43,43,0.930232558139535,34,36,36,0.944444444444444,10,10,10,1,0.277777777777778,0.534883720930233,0.348837209302326,0.116279069767442,21,23,23,0.91304347826087,14,15,15,0.933333333333333,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.638888888888889,0.222222222222222,0.138888888888889,21,23,23,0.91304347826087,8,8,8,1,5,5,5,1,0.232558139534884,10,10,10,1,0.7,0.1,0.2,7,7,7,1,1,1,1,1,2,2,2,1,0,0,0,0,0,0,0,2,4,4,0.0930232558139535,0.5,0,0,0,0,0,0,1,1,1,0.0232558139534884,1,2,3,0.666666666666667,0,0,3,3,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,4,4,4,0,1,1,0,1,1,1,1,7,0,4,4,4,0,2,2,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",1,46,1,1,2,3.91304347826087,0.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.95652173913043,0,1,1.95652173913043,1,1,0,0,0,1,0,15,18,35.2173913043478,0.833333333333333,15,18,35.2173913043478,0.833333333333333,10,12,23.4782608695652,0.833333333333333,0.666666666666667,0.5,0.444444444444444,0.0555555555555556,7,9,17.6086956521739,0.777777777777778,7,8,15.6521739130435,0.875,1,1,1.95652173913043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.444444444444444,0.0555555555555556,7,9,17.6086956521739,0.777777777777778,7,8,15.6521739130435,0.875,1,1,1.95652173913043,1,0.666666666666667,10,12,23.4782608695652,0.833333333333333,0.75,0.25,0,7,9,17.6086956521739,0.777777777777778,3,3,5.8695652173913,1,0,0,0,0,3,4,7.82608695652174,0.222222222222222,0.75,4,0,0,0,0,0,0,2,2,3.91304347826087,0.111111111111111,0.111111111111111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,9.78260869565217,2,3,1,1.95652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eddy","WNYF",1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,32,41,41,0.780487804878049,26,35,35,0.742857142857143,6,8,8,0.75,0.228571428571429,0.585365853658537,0.268292682926829,0.146341463414634,19,24,24,0.791666666666667,7,11,11,0.636363636363636,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542857142857143,0.314285714285714,0.142857142857143,14,19,19,0.736842105263158,7,11,11,0.636363636363636,5,5,5,1,0.195121951219512,6,8,8,0.75,0.625,0,0.375,3,5,5,0.6,0,0,0,0,3,3,3,1,2,5,5,0.142857142857143,0.4,4,1,3,5,5,0.121951219512195,0.6,3,5,5,0.121951219512195,0.142857142857143,0.6,6,6,6,0.146341463414634,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,2,0,5,5,0,0,0,0,0,4,1,5,5,0,0,11,0,9,9,7,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","BOS",1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,30,0.8,19,22,22,0.863636363636364,11,13,13,0.846153846153846,0.590909090909091,0.7,0.133333333333333,0.166666666666667,17,21,21,0.80952380952381,2,4,4,0.5,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590909090909091,0.181818181818182,0.227272727272727,12,13,13,0.923076923076923,2,4,4,0.5,5,5,5,1,0.433333333333333,11,13,13,0.846153846153846,0.538461538461538,0.153846153846154,0.307692307692308,6,7,7,0.857142857142857,1,2,2,0.5,4,4,4,1,0,0,0,0,0,0,0,2,6,6,0.2,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0.625,0,0,0,0,8,2,2,2,0,1,0,0,0,0,3,3,2,1,0.666666666666667,1,1,2,2,0,0,11,0,6,6,5,1,4,4,0,5,5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erceg","WNYF",1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,31,31,0.838709677419355,26,31,31,0.838709677419355,11,15,15,0.733333333333333,0.483870967741935,0.354838709677419,0.354838709677419,0.290322580645161,7,11,11,0.636363636363636,11,11,11,1,8,9,9,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354838709677419,0.354838709677419,0.290322580645161,7,11,11,0.636363636363636,11,11,11,1,8,9,9,0.888888888888889,0.483870967741935,11,15,15,0.733333333333333,0.533333333333333,0.2,0.266666666666667,5,8,8,0.625,3,3,3,1,3,4,4,0.75,0,0,0,0,0,0,0,0,2,2,0.0645161290322581,0,0,1,1,0.032258064516129,0.032258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,2,2,11,11,9,2,0.818181818181818,1,5,6,6,2,2,24,7,4,4,3,1,3,3,0,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hamilton","WNYF",1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,21.1764705882353,0.5,2,4,21.1764705882353,0.5,2,3,15.8823529411765,0.666666666666667,0.75,0.25,0.5,0.25,0,1,5.29411764705882,0,1,2,10.5882352941176,0.5,1,1,5.29411764705882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.25,0,1,5.29411764705882,0,1,2,10.5882352941176,0.5,1,1,5.29411764705882,1,0.75,2,3,15.8823529411765,0.666666666666667,0,0.666666666666667,0.333333333333333,0,0,0,0,1,2,10.5882352941176,0.5,1,1,5.29411764705882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.5882352941176,1,1,0.5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hinkle","WNYF",1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,39,57,57,0.684210526315789,33,44,44,0.75,13,16,16,0.8125,0.363636363636364,0.526315789473684,0.315789473684211,0.157894736842105,18,30,30,0.6,12,18,18,0.666666666666667,9,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477272727272727,0.318181818181818,0.204545454545455,12,21,21,0.571428571428571,12,14,14,0.857142857142857,9,9,9,1,0.280701754385965,13,16,16,0.8125,0.375,0.375,0.25,4,6,6,0.666666666666667,5,6,6,0.833333333333333,4,4,4,1,2,6,6,0.136363636363636,0.333333333333333,3,3,2,4,4,0.0701754385964912,0.5,1,1,1,0.0175438596491228,0.0227272727272727,1,6,9,9,0.157894736842105,0.666666666666667,0,4,0,0,0,0,0,0,0,0,0,0,0,6,6,3,3,0.5,2,0,5,5,2,2,0,2,0,4,2,6,6,1,1,10,3,10,10,5,5,4,4,0,2,2,1,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kallman","BOS",1,90,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,23,0.652173913043478,9,15,15,0.6,5,9,9,0.555555555555556,0.6,0.695652173913043,0.260869565217391,0.0434782608695652,8,16,16,0.5,6,6,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.333333333333333,0.0666666666666667,3,9,9,0.333333333333333,5,5,5,1,1,1,1,1,0.391304347826087,5,9,9,0.555555555555556,0.444444444444444,0.555555555555556,0,0,4,4,0,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,0.347826086956522,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,2,2,1,1,8,1,7,7,5,2,2,2,0,5,5,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kennedy","WNYF",1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,40,0.8,32,38,38,0.842105263157895,11,15,15,0.733333333333333,0.394736842105263,0.55,0.3,0.15,14,22,22,0.636363636363636,12,12,12,1,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526315789473684,0.315789473684211,0.157894736842105,14,20,20,0.7,12,12,12,1,6,6,6,1,0.375,11,15,15,0.733333333333333,0.533333333333333,0.2,0.266666666666667,4,8,8,0.5,3,3,3,1,4,4,4,1,0,0,0,0,0,0,0,1,6,6,0.15,0.166666666666667,0,1,1,0.025,0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,6,6,4,2,0.666666666666667,2,1,3,3,1,1,5,4,10,10,8,2,4,4,0,6,6,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
