Player,Team,MP,GS,Goals,Shots,Shots.per.90,Shot.Accuracy,Shot.GK.Stop,Shot.Def.Stop,Shot.Miss,xG,Shot.Pressed,Pct.Shots.Pressed,A6.Shots,A18.Shots,A3L.Shots,A3C.Shots,A3R.Shots,Far.Shots,Assists,Key.Passes,Key.Assists,Second.Assists,Assists.per.90,Key.Passes.per.90,Big.Chances,Big.Chances.per.90,BC.Scored,BC.Conversion.Pct,BC.SOG,BC.Shot.Miss,BC.Dispossess,BC.Created,BC.Lost,Pass.Comp,Pass.Att,Pass.Comp.Pct,opPass.Comp,opPass.Att,opPass.Comp.Pct,opPPass.Comp,opPPass.Att,opPPass.Comp.Pct,Pct.opPass.Pressed,rFreq.Pass.Fwd,rFreq.Pass.Side,rFreq.Pass.Back,fwPass.Comp,fwPass.Att,fwPass.Comp.Pct,sPass.Comp,sPass.Att,sPass.Comp.Pct,bPass.Comp,bPass.Att,bPass.Comp.Pct,rFreq.A3.Passes,rFreq.M3.Passes,rFreq.D3.Passes,A3Pass.Comp,A3Pass.Att,A3Pass.Comp.Pct,M3Pass.Comp,M3Pass.Att,M3Pass.Comp.Pct,D3Pass.Comp,D3Pass.Att,D3Pass.Comp.Pct,rFreq.A3.opPasses,rFreq.M3.opPasses,rFreq.D3.opPasses,A3opPass.Comp,A3opPass.Att,A3opPass.Comp.Pct,M3opPass.Comp,M3opPass.Att,M3opPass.Comp.Pct,D3opPass.Comp,D3opPass.Att,D3opPass.Comp.Pct,Pass.Comp.D3toD3,Pass.Comp.D3toM3,Pass.Comp.D3toA3,Pass.Comp.M3toD3,Pass.Comp.M3toM3,Pass.Comp.M3toA3,Pass.Comp.A3toD3,Pass.Comp.A3toM3,Pass.Comp.A3toA3,rFreq.opPass.Fwd,rFreq.opPass.Side,rFreq.opPass.Back,fwopPass.Comp,fwopPass.Att,fwopPass.Comp.Pct,sopPass.Comp,sopPass.Att,sopPass.Comp.Pct,bopPass.Comp,bopPass.Att,bopPass.Comp.Pct,Pct.Passes.Pressed,PPass.Comp,PPass.Att,PPass.Comp.Pct,rFreq.PPass.Fwd,rFreq.PPass.Side,rFreq.PPass.Back,fwPPass.Comp,fwPPass.Att,fwPPass.Comp.Pct,sPPass.Comp,sPPass.Att,sPPass.Comp.Pct,bPPass.Comp,bPPass.Att,bPPass.Comp.Pct,Cross.Comp,Cross.Att,Cross.Att.per.90,Cross.Att.per.opPass,Cross.Comp.Pct,Corner.Crosses,Deep.Crosses,Launch.Comp,Launch.Att,Launch.Att.per.90,Launch.Att.per.Pass,Launch.Comp.Pct,Through.Comp,Through.Att,Through.Att.per.90,Through.Att.per.Pass,Through.Att.per.opPass,Through.Comp.Pct,Throw.In.Comp,Throw.In.Att,Throw.In.Att.per.90,Throw.In.Att.per.Pass,Throw.In.Comp.Pct,Corner.Kicks.Completed,Corner.Kicks.Taken,CK.Comp.Pct,CK.Assist,CK.Key.Pass,FK.Pass.Comp,FK.Pass.Att,FK.Pass.Comp.Pct,FK.Assist,FK.Key.Pass,FK.Shot,FK.Scored,Free.Kicks.Taken,Take.Ons,TO.Won,TO.Lost,TO.Win.Pct,Dispossessed,Lost.Touches,All.Possessions.Disrupted,Aerial.Duels,AD.Won,AD.Lost,AD.Win.Pct,Tackles,Dispossesses,Dribbled,Press.Opp,Challenge.Opp,Recoveries,Def.Recoveries,Poss.Recoveries,Interceptions,Int.per.90,Int.per.OP.Pass,Blocks,Clearances,Ball.Shields,Saves,Goals.Allowed,GK.SOG.Faced,GperSOG,BC.SOG.Faced,BC.Saves,BC.Goals.Allowed,GperBCSOG,High.Balls.Faced,HB.Won,HB.Lost,HB.Caught,HB.Punched,HB.Parried,HB.Collected,HB.Fouls.Won,Crosses.Faced,Crosses.Won,Crosses.Lost,Corner.Kicks.Faced,CKs.Won,CKs.Lost,Free.Kicks.Faced,FKs.Won,FKs.Lost,Smothers.Won,Smothers.Lost,GK.Overall.Pass.Comp,GK.Overall.Pass.Att,GK.Overall.Pass.Comp.Pct,GK.Throw.Comp,GK.Throw.Att,GK.Throw.Comp.Pct,GK.Drop.Kick.Comp,GK.Drop.Kick.Att,GK.Drop.Kick.Comp.Pct,GKFK.Comp,GKFK.Att,GKFK.Comp.Pct
Andrade,WNYF,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0.916666667,11,12,0.916666667,8,9,0.888888889,0.75,0.333333333,0.166666667,0.5,4,4,1,1,2,0.5,6,6,1,0,1,0,0,0,0,9,10,0.9,0,0,0,0,1,0,0,0,0,9,10,0.9,0,0,0,0,0,0,0,7,0,0,0,0,0.333333333,0.166666667,0.5,4,4,1,1,2,0.5,6,6,1,0.75,8,9,0.888888889,0.222222222,0.222222222,0.555555556,2,2,1,1,2,0.5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.836734694,0.083333333,0.083333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0.5,3,2,7,5,3,2,0.6,1,1,1,15,2,5,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colaprico,CRS,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,47,0.893617021,42,45,0.933333333,29,32,0.90625,0.711111111,0.553191489,0.127659574,0.319148936,23,26,0.884615385,4,6,0.666666667,15,15,1,0,1,0,0,0,0,14,14,1,0,0,0,0,1,0,0,0,0,14,14,1,0,0,0,0,0,0,0,12,0,0,0,0,0.577777778,0.088888889,0.333333333,23,26,0.884615385,4,4,1,15,15,1,0.680851064,29,32,0.90625,0.625,0.03125,0.34375,17,20,0.85,1,1,1,11,11,1,0,0,0,0,0,0,0,3,3,2.842105263,0.063829787,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,1,0,1,0,5,2,2,24,0,14,7,7,5,4.736842105,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comeau,CRS,34,0,0,1,2.647058824,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0.625,5,8,0.625,2,2,1,0.25,0.625,0.375,0,3,5,0.6,2,3,0.666666667,0,0,0,0,1,0,0,0,0,3,5,0.6,0,0,0,0,1,0,0,0,0,3,5,0.6,0,0,0,0,0,0,0,2,0,0,0,0,0.625,0.375,0,3,5,0.6,2,3,0.666666667,0,0,0,0.25,2,2,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5.294117647,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,2,1,0.666666667,0,0,0,5,5,3,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D'Angelo,WNYF,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,39,0.794871795,24,29,0.827586207,1,3,0.333333333,0.103448276,1,0,0,31,39,0.794871795,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,9,0.888888889,0,0,1,0,0,0,0,0,0,8,9,0.888888889,0,0,0,0,0,0,0,0,0,1,0,0,24,29,0.827586207,0,0,0,0,0,0,0.102564103,1,4,0.25,1,0,0,1,4,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,10.42105263,0.282051282,0.363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,6,1,7,0.142857143,1,1,0,0,7,7,0,4,2,0,0,0,3,3,0,3,3,0,0,0,0,0,0,31,39,0.794871795,5,5,1,1,3,0.333333333,5,6,0.833333333
Dahlkemper,WNYF,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,25,0.88,22,25,0.88,9,11,0.818181818,0.44,0.68,0.08,0.24,14,17,0.823529412,2,2,1,6,6,1,0,1,0,0,0,0,5,5,1,0,0,0,0,1,0,0,0,0,5,5,1,0,0,0,0,0,0,0,4,0,0,0,0,0.68,0.08,0.24,14,17,0.823529412,2,2,1,6,6,1,0.44,9,11,0.818181818,0.636363636,0.090909091,0.272727273,5,7,0.714285714,1,1,1,3,3,1,0,0,0,0,0,0,0,0,1,0.947368421,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,1,0.5,0,1,0,5,4,10,7,3,2,1.894736842,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DiBernardo,CRS,95,1,0,1,0.947368421,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,62,0.758064516,43,57,0.754385965,32,38,0.842105263,0.666666667,0.483870968,0.14516129,0.370967742,19,30,0.633333333,6,9,0.666666667,22,23,0.956521739,0,1,0,0,0,0,12,15,0.8,0,0,0,0,1,0,0,0,0,12,15,0.8,0,0,0,0,0,0,0,10,0,0,0,0,0.50877193,0.140350877,0.350877193,18,29,0.620689655,6,8,0.75,19,20,0.95,0.612903226,32,38,0.842105263,0.368421053,0.157894737,0.473684211,10,14,0.714285714,5,6,0.833333333,17,18,0.944444444,3,5,4.736842105,0.087719298,0.6,5,0,1,3,2.842105263,0.048387097,0.333333333,1,2,1.894736842,0.032258065,0.035087719,0.5,1,1,0.947368421,0.016129032,1,0,1,0,0,0,3,3,1,0,0,0,0,3,3,2,1,0.666666667,0,1,2,5,1,4,0.2,2,1,1,36,7,13,10,3,2,1.894736842,0,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doniak,WNYF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0.8,2,3,0.666666667,2,3,0.666666667,1,0.2,0.6,0.2,1,1,1,2,3,0.666666667,1,1,1,0.5,0.5,0,0,1,0,1,1,1,0,0,0,0.5,0.5,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0,1,1,1,1,2,0.5,0,0,0,0.6,2,3,0.666666667,0.333333333,0.666666667,0,1,1,1,1,2,0.5,0,0,0,0,1,6,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0.2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0.5,1,1,3,2,1,1,0.5,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddy,WNYF,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,48,0.666666667,19,28,0.678571429,13,17,0.764705882,0.607142857,0.729166667,0.208333333,0.0625,25,35,0.714285714,4,10,0.4,3,3,1,0,1,0,0,0,0,11,15,0.733333333,0,0,0,0,1,0,0,0,0,11,15,0.733333333,0,0,0,0,0,0,0,9,0,0,0,0,0.857142857,0.071428571,0.071428571,17,24,0.708333333,0,2,0,2,2,1,0.354166667,13,17,0.764705882,0.941176471,0,0.058823529,12,16,0.75,0,0,0,1,1,1,0,1,1.111111111,0.035714286,0,0,1,1,3,3.333333333,0.0625,0.333333333,0,0,0,0,0,0,9,12,13.33333333,0.25,0.75,4,8,0.5,0,0,0,0,0,0,0,0,0,0,2,1,1,0.5,2,1,4,3,0,3,0,3,3,3,23,2,2,2,0,2,2.222222222,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erceg,WNYF,95,1,0,1,0.947368421,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,43,0.88372093,36,41,0.87804878,20,25,0.8,0.609756098,0.604651163,0.11627907,0.279069767,21,26,0.807692308,5,5,1,12,12,1,0.0625,0.9375,0,1,1,1,15,15,1,0,0,0,0.0625,0.9375,0,1,1,1,15,15,1,0,0,0,0,0,0,0,13,0,0,0,1,0.609756098,0.12195122,0.268292683,20,25,0.8,5,5,1,11,11,1,0.581395349,20,25,0.8,0.68,0.04,0.28,12,17,0.705882353,1,1,1,7,7,1,0,0,0,0,0,0,0,0,2,1.894736842,0.046511628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,4,4,0,1,0,1,2,13,3,8,6,2,2,1.894736842,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilliland,CRS,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,33,0.636363636,18,26,0.692307692,16,23,0.695652174,0.884615385,0.636363636,0.181818182,0.181818182,11,21,0.523809524,4,6,0.666666667,6,6,1,0,1,0,0,0,0,4,8,0.5,0,0,0,0,1,0,0,0,0,4,8,0.5,0,0,0,0,0,0,0,4,0,0,0,0,0.538461538,0.230769231,0.230769231,8,14,0.571428571,4,6,0.666666667,6,6,1,0.696969697,16,23,0.695652174,0.52173913,0.260869565,0.217391304,7,12,0.583333333,4,6,0.666666667,5,5,1,0,2,1.894736842,0.076923077,0,2,0,1,2,1.894736842,0.060606061,0.5,0,0,0,0,0,0,3,6,5.684210526,0.181818182,0.5,0,0,0,0,0,0,1,0,0,0,0,0,1,4,2,2,0.5,2,1,5,3,2,1,0.666666667,1,0,1,10,6,9,6,3,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
