"Player","Team","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Clearances","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Averbuch","FCKC",96,1,0,1,0.9375,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,29,0.655172413793103,19,28,0.678571428571429,13,17,0.764705882352941,0.607142857142857,0.724137931034483,0.206896551724138,0.0689655172413793,12,21,0.571428571428571,5,6,0.833333333333333,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,0.214285714285714,0.0714285714285714,12,20,0.6,5,6,0.833333333333333,2,2,1,0.586206896551724,13,17,0.764705882352941,0.764705882352941,0.176470588235294,0.0588235294117647,10,13,0.769230769230769,2,3,0.666666666666667,1,1,1,0,1,0.9375,0.0357142857142857,0,0,1,1,6,5.625,0.206896551724138,0.166666666666667,0,1,0.9375,0.0344827586206897,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,1,0,1,0,1,1,5,5,0,1,3,2,2,9,5,10,8,2,2,1.875,0,3,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,33,0.393939393939394,7,20,0.35,1,2,0.5,0.1,0.727272727272727,0.272727272727273,0,4,24,0.166666666666667,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0,3,16,0.1875,4,4,1,0,0,0,0.0606060606060606,1,2,0.5,0.5,0.5,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,20,18.75,0.606060606060606,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.333333333333333,0,0,0,0,5,5,0,5,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,13,33,0.393939393939394,6,6,1,0,5,0,3,13,0.230769230769231
"Betos","PTFC",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,36,0.777777777777778,20,22,0.909090909090909,4,4,1,0.181818181818182,0.722222222222222,0.277777777777778,0,18,26,0.692307692307692,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590909090909091,0.409090909090909,0,11,13,0.846153846153846,9,9,1,0,0,0,0.111111111111111,4,4,1,0.5,0.5,0,2,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,4,12,11.25,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,1,4,0.25,2,1,1,0.5,2,2,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,28,36,0.777777777777778,6,6,1,0,3,0,5,9,0.555555555555556
"Brynjarsdottir","PTFC",75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,0.739130434782609,17,23,0.739130434782609,12,15,0.8,0.625,0.347826086956522,0.347826086956522,0.304347826086957,4,8,0.5,6,8,0.75,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347826086956522,0.347826086956522,0.304347826086957,4,8,0.5,6,8,0.75,7,7,1,0.625,12,15,0.8,0.0666666666666667,0.466666666666667,0.466666666666667,0,1,0,5,7,0.714285714285714,7,7,1,0,0,0,0,0,0,0,1,1,1.2,0.0434782608695652,1,1,1,1.2,0.0434782608695652,0.0434782608695652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,6,8,4,4,0.5,2,3,1,25,7,7,2,5,1,1.2,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buczkowski","FCKC",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,34,0.852941176470588,29,34,0.852941176470588,19,23,0.826086956521739,0.676470588235294,0.470588235294118,0.323529411764706,0.205882352941176,12,16,0.75,11,11,1,6,7,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470588235294118,0.323529411764706,0.205882352941176,12,16,0.75,11,11,1,6,7,0.857142857142857,0.676470588235294,19,23,0.826086956521739,0.521739130434783,0.260869565217391,0.217391304347826,8,12,0.666666666666667,6,6,1,5,5,1,0,0,0,0,0,0,0,0,1,0.9375,0.0294117647058824,0,0,2,1.875,0.0588235294117647,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,2,2,2,0,1,0,2,3,38,4,13,6,7,1,0.9375,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frisbie","FCKC",96,1,0,1,0.9375,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,0.75,16,20,0.8,8,10,0.8,0.5,0.678571428571429,0.214285714285714,0.107142857142857,14,19,0.736842105263158,4,6,0.666666666666667,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.15,0.1,12,15,0.8,2,3,0.666666666666667,2,2,1,0.357142857142857,8,10,0.8,0.6,0.2,0.2,5,6,0.833333333333333,1,2,0.5,2,2,1,0,1,0.9375,0.05,0,1,0,1,6,5.625,0.214285714285714,0.166666666666667,1,1,0.9375,0.0357142857142857,0.05,1,5,7,6.5625,0.25,0.714285714285714,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0.5,0,1,2,4,1,3,0.25,5,1,2,10,4,4,3,1,2,1.875,0,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Groom","FCKC",96,1,1,5,4.6875,0.6,2,0,2,0,3,0.6,0,5,0,0,0,0,0,0,0,0,0,0,2,1.875,1,0.5,1,0,0,0,0,2,5,0.4,2,5,0.4,1,3,0.333333333333333,0.6,0.4,0.4,0.2,0,2,0,1,2,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0,2,0,1,2,0.5,1,1,1,0.6,1,3,0.333333333333333,0.666666666666667,0.333333333333333,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9375,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0.5,3,2,8,7,5,2,0.714285714285714,0,1,2,33,6,7,4,3,0,0,0,0,0,0,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","PTFC",96,1,0,2,1.875,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0.9375,0.9375,0,0,0,0,0,0,0,0,0,45,57,0.789473684210526,40,48,0.833333333333333,28,31,0.903225806451613,0.645833333333333,0.368421052631579,0.333333333333333,0.298245614035088,13,21,0.619047619047619,16,19,0.842105263157895,16,17,0.941176470588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.291666666666667,0.333333333333333,13,18,0.722222222222222,12,14,0.857142857142857,15,16,0.9375,0.543859649122807,28,31,0.903225806451613,0.193548387096774,0.419354838709677,0.387096774193548,5,6,0.833333333333333,11,13,0.846153846153846,12,12,1,2,6,5.625,0.125,0.333333333333333,4,2,0,3,2.8125,0.0526315789473684,0,0,2,1.875,0.0350877192982456,0.0416666666666667,0,1,2,1.875,0.0350877192982456,0.5,2,3,0.666666666666667,1,1,2,4,0.5,0,0,2,0,6,15,9,6,0.6,3,1,10,1,0,1,0,1,1,1,31,3,15,10,5,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","PTFC",96,1,1,3,2.8125,0.333333333333333,0,0,2,0,2,0.666666666666667,0,2,0,0,0,0,0,1,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,48,62,0.774193548387097,47,61,0.770491803278688,23,28,0.821428571428571,0.459016393442623,0.548387096774194,0.225806451612903,0.225806451612903,22,34,0.647058823529412,12,14,0.857142857142857,14,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.557377049180328,0.229508196721311,0.213114754098361,22,34,0.647058823529412,12,14,0.857142857142857,13,13,1,0.451612903225806,23,28,0.821428571428571,0.392857142857143,0.25,0.357142857142857,7,11,0.636363636363636,6,7,0.857142857142857,10,10,1,2,3,2.8125,0.0491803278688525,0.666666666666667,1,2,2,4,3.75,0.0645161290322581,0.5,2,2,1.875,0.032258064516129,0.0327868852459016,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,1,3,0.25,4,2,9,10,8,2,0.8,3,4,6,27,7,18,15,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kastor","FCKC",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
