"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Evans","ORL",0,1,95,1,0,2,0,1,0,3,0.666666666666667,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,45,0.711111111111111,31,44,0.704545454545455,14,18,0.777777777777778,0.409090909090909,1,3,0.333333333333333,0,4,0,2,4,0.5,1,1,1,1,3,0.333333333333333,0,4,0,2,4,0.5,13,26,0.5,8,8,1,11,11,1,12,25,0.48,8,8,1,11,11,1,3,7,0.428571428571429,5,5,1,6,6,1,0.577777777777778,0.177777777777778,0.244444444444444,0.568181818181818,0.181818181818182,0.25,0.388888888888889,0.277777777777778,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,2,9,3,6,6,1,5,0.166666666666667,0,0,0,0,0,0,0,27,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,0,0.947368421052632,0,2.84210526315789,2.84210526315789,0,0,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,30.3157894736842,42.6315789473684,29.3684210526316,41.6842105263158,13.2631578947368,17.0526315789474,0.947368421052632,2.84210526315789,0,3.78947368421053,1.89473684210526,3.78947368421053,0.947368421052632,0.947368421052632,0.947368421052632,2.84210526315789,0,3.78947368421053,1.89473684210526,3.78947368421053,12.3157894736842,24.6315789473684,7.57894736842105,7.57894736842105,10.4210526315789,10.4210526315789,11.3684210526316,23.6842105263158,7.57894736842105,7.57894736842105,10.4210526315789,10.4210526315789,2.84210526315789,6.63157894736842,4.73684210526316,4.73684210526316,5.68421052631579,5.68421052631579,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,0,1.89473684210526,0.947368421052632,0.947368421052632,1.89473684210526,8.52631578947368,2.84210526315789,5.68421052631579,5.68421052631579,0.947368421052632,4.73684210526316,0,0,0,0,0,0,0,25.5789473684211,0,0.947368421052632,0.947368421052632,0,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hagen","ORL",0,1,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22222222222222,2.22222222222222,2.22222222222222,2.22222222222222,2.22222222222222,2.22222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22222222222222,2.22222222222222,0,0,0,0,2.22222222222222,2.22222222222222,0,0,0,0,2.22222222222222,2.22222222222222,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0,1.11111111111111,1.11111111111111,0,1.11111111111111,0,0,0,0,0,0,1.11111111111111,0,0,0,0,0,0,1.11111111111111,0,0,0,0,0,0,1.11111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hahn","WNYF",0,1,95,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,0.6,12,20,0.6,8,12,0.666666666666667,0.6,0,0,0,1,6,0.166666666666667,0,0,0,0,0,0,0,0,0,1,6,0.166666666666667,0,0,0,7,14,0.5,3,4,0.75,2,2,1,7,14,0.5,3,4,0.75,2,2,1,5,9,0.555555555555556,1,1,1,2,2,1,0.7,0.2,0.1,0.7,0.2,0.1,0.75,0.0833333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,5,1,4,0.2,1,2,1,0,0,0,0,20,3,0,1,5,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3684210526316,18.9473684210526,11.3684210526316,18.9473684210526,7.57894736842105,11.3684210526316,0,0,0.947368421052632,5.68421052631579,0,0,0,0,0,0,0.947368421052632,5.68421052631579,0,0,6.63157894736842,13.2631578947368,2.84210526315789,3.78947368421053,1.89473684210526,1.89473684210526,6.63157894736842,13.2631578947368,2.84210526315789,3.78947368421053,1.89473684210526,1.89473684210526,4.73684210526316,8.52631578947368,0.947368421052632,0.947368421052632,1.89473684210526,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.63157894736842,3.78947368421053,2.84210526315789,4.73684210526316,0.947368421052632,3.78947368421053,0.947368421052632,1.89473684210526,0.947368421052632,0,0,0,0,18.9473684210526,2.84210526315789,0,0.947368421052632,4.73684210526316,0.947368421052632,0.947368421052632,3.78947368421053,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harris","ORL",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,31,0.774193548387097,14,17,0.823529411764706,1,2,0.5,0.117647058823529,0,0,0,4,11,0.363636363636364,0,0,0,0,0,0,0,0,0,1,4,0.25,0,0,0,20,27,0.740740740740741,4,4,1,0,0,0,11,14,0.785714285714286,3,3,1,0,0,0,1,2,0.5,0,0,0,0,0,0,0.870967741935484,0.129032258064516,0,0.823529411764706,0.176470588235294,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0.166666666666667,2,1,3,0.333333333333333,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,31,0.774193548387097,3,3,1,0,0,0,7,11,0.636363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7368421052632,29.3684210526316,13.2631578947368,16.1052631578947,0.947368421052632,1.89473684210526,0,0,3.78947368421053,10.4210526315789,0,0,0,0,0,0,0.947368421052632,3.78947368421053,0,0,18.9473684210526,25.5789473684211,3.78947368421053,3.78947368421053,0,0,10.4210526315789,13.2631578947368,2.84210526315789,2.84210526315789,0,0,0.947368421052632,1.89473684210526,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,0,0,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73684210526316,0.947368421052632,5.68421052631579,1.89473684210526,0.947368421052632,2.84210526315789,0,0,0,0,0,0,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,22.7368421052632,29.3684210526316,2.84210526315789,2.84210526315789,0,0,6.63157894736842,10.4210526315789
"Hickmann Alves","ORL",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,36,0.833333333333333,29,35,0.828571428571429,13,16,0.8125,0.457142857142857,0,1,0,4,5,0.8,2,2,1,1,1,1,0,1,0,4,5,0.8,2,2,1,12,16,0.75,9,10,0.9,9,10,0.9,11,15,0.733333333333333,9,10,0.9,9,10,0.9,4,6,0.666666666666667,4,4,1,5,6,0.833333333333333,0.444444444444444,0.277777777777778,0.277777777777778,0.428571428571429,0.285714285714286,0.285714285714286,0.375,0.25,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,7,4,3,3,1,2,0.333333333333333,0,1,0,0,0,0,0,15,4,1,2,5,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4210526315789,34.1052631578947,27.4736842105263,33.1578947368421,12.3157894736842,15.1578947368421,0,0.947368421052632,3.78947368421053,4.73684210526316,1.89473684210526,1.89473684210526,0.947368421052632,0.947368421052632,0,0.947368421052632,3.78947368421053,4.73684210526316,1.89473684210526,1.89473684210526,11.3684210526316,15.1578947368421,8.52631578947368,9.47368421052632,8.52631578947368,9.47368421052632,10.4210526315789,14.2105263157895,8.52631578947368,9.47368421052632,8.52631578947368,9.47368421052632,3.78947368421053,5.68421052631579,3.78947368421053,3.78947368421053,4.73684210526316,5.68421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,1.89473684210526,3.78947368421053,6.63157894736842,3.78947368421053,2.84210526315789,2.84210526315789,0.947368421052632,1.89473684210526,0,0.947368421052632,0,0,0,0,0,14.2105263157895,3.78947368421053,0.947368421052632,1.89473684210526,4.73684210526316,0,3.78947368421053,3.78947368421053,3.78947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hinkle","WNYF",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,34,0.794117647058823,17,21,0.80952380952381,12,15,0.8,0.714285714285714,0,2,0,1,1,1,1,3,0.333333333333333,9,11,0.818181818181818,0,1,0,1,1,1,1,3,0.333333333333333,19,25,0.76,4,5,0.8,4,4,1,10,14,0.714285714285714,3,3,1,4,4,1,6,9,0.666666666666667,3,3,1,3,3,1,0.735294117647059,0.147058823529412,0.117647058823529,0.666666666666667,0.142857142857143,0.19047619047619,0.6,0.2,0.2,1,1,1,0,0,0,1,0,0,0,0,0,1,4,0,4,1,0,0,0,4,3,1,1,0,1,0,2,2,0,0,0,0,3,9,4,3,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5789473684211,32.2105263157895,16.1052631578947,19.8947368421053,11.3684210526316,14.2105263157895,0,1.89473684210526,0.947368421052632,0.947368421052632,0.947368421052632,2.84210526315789,8.52631578947368,10.4210526315789,0,0.947368421052632,0.947368421052632,0.947368421052632,0.947368421052632,2.84210526315789,18,23.6842105263158,3.78947368421053,4.73684210526316,3.78947368421053,3.78947368421053,9.47368421052632,13.2631578947368,2.84210526315789,2.84210526315789,3.78947368421053,3.78947368421053,5.68421052631579,8.52631578947368,2.84210526315789,2.84210526315789,2.84210526315789,2.84210526315789,0.947368421052632,0.947368421052632,0,0,0,0.947368421052632,0,0,0,0,0.947368421052632,3.78947368421053,0,3.78947368421053,0,0,0,3.78947368421053,2.84210526315789,0.947368421052632,0.947368421052632,0,0.947368421052632,1.89473684210526,1.89473684210526,0,0,0,0,2.84210526315789,8.52631578947368,3.78947368421053,2.84210526315789,0.947368421052632,0.947368421052632,0,0.947368421052632,1.89473684210526,3.78947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kennedy","WNYF",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,0.75,14,16,0.875,1,1,1,0.0625,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,10,0.6,5,6,0.833333333333333,4,4,1,5,6,0.833333333333333,5,6,0.833333333333333,4,4,1,0,0,0,0,0,0,1,1,1,0.5,0.3,0.2,0.375,0.375,0.25,0,0,1,0,0,0,0,0,1,4,0.25,0,0,0,0,4,2,0,2,1,0,0,0,7,6,1,3,1,2,0.333333333333333,1,1,0,0,0,0,0,6,2,4,6,6,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2105263157895,18.9473684210526,13.2631578947368,15.1578947368421,0.947368421052632,0.947368421052632,0,0,0,3.78947368421053,0,0,0,0,0,0,0,0.947368421052632,0,0,5.68421052631579,9.47368421052632,4.73684210526316,5.68421052631579,3.78947368421053,3.78947368421053,4.73684210526316,5.68421052631579,4.73684210526316,5.68421052631579,3.78947368421053,3.78947368421053,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,3.78947368421053,0,0,0,0,3.78947368421053,1.89473684210526,0,1.89473684210526,0,0,0,6.63157894736842,5.68421052631579,0.947368421052632,2.84210526315789,0.947368421052632,1.89473684210526,0.947368421052632,0.947368421052632,0,0,0,0,0,5.68421052631579,1.89473684210526,3.78947368421053,5.68421052631579,5.68421052631579,0,1.89473684210526,0.947368421052632,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leon","WNYF",0,1,25,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0.571428571428571,4,7,0.571428571428571,3,6,0.5,0.857142857142857,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,2,0.5,0,2,0,3,3,1,1,2,0.5,0,2,0,3,3,1,1,2,0.5,0,2,0,2,2,1,0.285714285714286,0.285714285714286,0.428571428571429,0.285714285714286,0.285714285714286,0.428571428571429,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,3.6,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,25.2,14.4,25.2,10.8,21.6,0,3.6,0,0,3.6,3.6,0,0,0,3.6,0,0,3.6,3.6,3.6,7.2,0,7.2,10.8,10.8,3.6,7.2,0,7.2,10.8,10.8,3.6,7.2,0,7.2,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.6,7.2,14.4,0,14.4,0,0,0,0,0,0,0,0,0,0,14.4,3.6,0,0,0,0,3.6,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"McDonald","WNYF",0,1,95,1,0,3,0,2,1,6,0.6,1,5,0.166666666666667,0,2,1,0,0,0,3,0,1,1,1,0,1,1,1,0,22,26,0.846153846153846,15,17,0.882352941176471,8,10,0.8,0.588235294117647,1,2,0.5,0,0,0,1,1,1,7,9,0.777777777777778,0,1,0,0,0,0,1,1,1,5,5,1,8,12,0.666666666666667,9,9,1,3,3,1,4,6,0.666666666666667,8,8,1,2,2,1,2,4,0.5,4,4,1,0.192307692307692,0.461538461538462,0.346153846153846,0.176470588235294,0.352941176470588,0.470588235294118,0.2,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,0.714285714285714,3,1,6,6,2,4,7,4,3,0.571428571428571,1,0,0,0,0,0,1,30,0,0,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84210526315789,0,1.89473684210526,0.947368421052632,5.68421052631579,0.947368421052632,4.73684210526316,0,1.89473684210526,0.947368421052632,0,0,0,2.84210526315789,0.947368421052632,0.947368421052632,0.947368421052632,0,0.947368421052632,0.947368421052632,0.947368421052632,0,20.8421052631579,24.6315789473684,14.2105263157895,16.1052631578947,7.57894736842105,9.47368421052632,0.947368421052632,1.89473684210526,0,0,0.947368421052632,0.947368421052632,6.63157894736842,8.52631578947368,0,0.947368421052632,0,0,0.947368421052632,0.947368421052632,4.73684210526316,4.73684210526316,7.57894736842105,11.3684210526316,8.52631578947368,8.52631578947368,2.84210526315789,2.84210526315789,3.78947368421053,5.68421052631579,7.57894736842105,7.57894736842105,1.89473684210526,1.89473684210526,1.89473684210526,3.78947368421053,3.78947368421053,3.78947368421053,0,0,0,0,0,0,0,0,0,0,0,4.73684210526316,1.89473684210526,6.63157894736842,2.84210526315789,0.947368421052632,5.68421052631579,5.68421052631579,1.89473684210526,3.78947368421053,6.63157894736842,3.78947368421053,2.84210526315789,0.947368421052632,0,0,0,0,0,0.947368421052632,28.4210526315789,0,0,0,0.947368421052632,0,2.84210526315789,0,3.78947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mewis","WNYF",0,1,95,1,0,1,0,2,0,3,0.333333333333333,1,2,0.333333333333333,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,28,43,0.651162790697674,27,42,0.642857142857143,20,29,0.689655172413793,0.69047619047619,0,0,0,0,2,0,2,4,0.5,0,0,0,0,0,0,0,2,0,2,4,0.5,19,31,0.612903225806452,3,6,0.5,6,6,1,18,30,0.6,3,6,0.5,6,6,1,14,21,0.666666666666667,3,5,0.6,3,3,1,0.720930232558139,0.13953488372093,0.13953488372093,0.714285714285714,0.142857142857143,0.142857142857143,0.724137931034483,0.172413793103448,0.103448275862069,0,0,0,0,0,1,1,1,0,0,0,0,1,3,0,3,1,4,1,5,5,4,1,16,15,1,0.9375,2,1,0,0,0,0,1,21,4,6,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,1.89473684210526,0,2.84210526315789,0.947368421052632,1.89473684210526,0,0,0,0,0,0,0,0,1.89473684210526,0,0,0,1.89473684210526,0,0,26.5263157894737,40.7368421052632,25.5789473684211,39.7894736842105,18.9473684210526,27.4736842105263,0,0,0,1.89473684210526,1.89473684210526,3.78947368421053,0,0,0,0,0,1.89473684210526,1.89473684210526,3.78947368421053,18,29.3684210526316,2.84210526315789,5.68421052631579,5.68421052631579,5.68421052631579,17.0526315789474,28.4210526315789,2.84210526315789,5.68421052631579,5.68421052631579,5.68421052631579,13.2631578947368,19.8947368421053,2.84210526315789,4.73684210526316,2.84210526315789,2.84210526315789,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,2.84210526315789,0,2.84210526315789,3.78947368421053,0.947368421052632,4.73684210526316,4.73684210526316,3.78947368421053,0.947368421052632,15.1578947368421,14.2105263157895,0.947368421052632,1.89473684210526,0.947368421052632,0,0,0,0,0.947368421052632,19.8947368421053,3.78947368421053,5.68421052631579,3.78947368421053,1.89473684210526,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
