"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1","F","USA","Heath","passes.b.c","DMC","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1","M","USA","Brian","passes.b.c","DMC","DMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1","M","USA","Long","passes.f","DMR",NA,NA,"F","JPN","Chiba","blocks","AML",NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1","M","USA","Long","recoveries","DR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1","M","USA","Long","passes.f.c","DR","DMR",NA,"F","JPN","Chiba","challenged","AL",NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1",NA,NA,NA,NA,NA,NA,NA,"F","JPN","Ogimi","pressured","AL",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1","F","USA","Dunn","passes.f","DMR",NA,NA,"M","JPN","Utsugi","pressured","AML",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1",NA,NA,NA,NA,NA,NA,NA,"D","JPN","Sasaki","pressured","AML",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1",NA,NA,NA,NA,NA,NA,NA,"D","JPN","Kumagai","interceptions","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"1","D","JPN","Kumagai","passes.s","DML",NA,NA,"M","USA","Pugh","challenged","AMR",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
9,"1","D","USA","O'Hara","passes.f.c","AMR","AR","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"1","F","USA","Dunn","passes.s.c","AR","AR",NA,"D","JPN","Sasaki","challenged","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"1","M","USA","Pugh","passes.f","AR",NA,NA,"M","JPN","Utsugi","pressured","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"1","F","USA","Dunn","offside.calls","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"2","GK","JPN","Yamashita","passes.f","DL",NA,"free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"2",NA,NA,NA,NA,NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"2","F","JPN","Chiba","aerial.lost","AML",NA,NA,"D","USA","Johnston","aerial.lost","DMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"2","D","USA","Sauerbrunn","recoveries","DR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"2","D","USA","Sauerbrunn","passes.b.c","DR","D18",NA,"F","JPN","Iwabuchi","pressured","AL",NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"2","GK","USA","Solo","movement","D18","D6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"2","GK","USA","Solo","passes.f.c","D6","D18",NA,"F","JPN","Iwabuchi","pressured","A6",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"2","D","USA","Sauerbrunn","passes.s.c","D18","DL",NA,"F","JPN","Iwabuchi","pressured","A18",NA,NA,NA,NA,NA,NA,NA,NA,NA
